AAA278I18.genome.CDS.1878,group01675
AAA278I18.genome.CDS.1165,group00779
AAA278I18.genome.CDS.197,group00779
AAA278I18.genome.CDS.1163,group00506
AAA278I18.genome.CDS.1160,group00408
AAA278I18.genome.CDS.1248,group01538
AAA278I18.genome.CDS.1247,group01456
AAA278I18.genome.CDS.1246,group01769
AAA278I18.genome.CDS.1245,group01496
AAA278I18.genome.CDS.1244,group01496
AAA278I18.genome.CDS.1243,group00010
AAA278I18.genome.CDS.1511,group01517
AAA278I18.genome.CDS.726,group01371
AAA278I18.genome.CDS.1240,group01430
AAA278I18.genome.CDS.1081,group00048
AAA278I18.genome.CDS.1080,group00063
AAA278I18.genome.CDS.1083,group00444
AAA278I18.genome.CDS.1082,group00882
AAA278I18.genome.CDS.1085,group00227
AAA278I18.genome.CDS.1084,group00892
AAA278I18.genome.CDS.1087,group00412
AAA278I18.genome.CDS.1426,group00024
AAA278I18.genome.CDS.1089,group00366
AAA278I18.genome.CDS.1517,group00748
AAA278I18.genome.CDS.1964,group00872
AAA278I18.genome.CDS.970,group00211
AAA278I18.genome.CDS.1930,group00715
AAA278I18.genome.CDS.1629,group00671
AAA278I18.genome.CDS.1649,group01166
AAA278I18.genome.CDS.1648,group01038
AAA278I18.genome.CDS.973,group00164
AAA278I18.genome.CDS.1093,group00526
AAA278I18.genome.CDS.1643,group00007
AAA278I18.genome.CDS.1642,group00849
AAA278I18.genome.CDS.1641,group00796
AAA278I18.genome.CDS.1640,group01059
AAA278I18.genome.CDS.1647,group00641
AAA278I18.genome.CDS.1646,group00690
AAA278I18.genome.CDS.1645,group00614
AAA278I18.genome.CDS.1644,group00947
AAA278I18.genome.CDS.1412,group02441
AAA278I18.genome.CDS.1158,group00272
AAA278I18.genome.CDS.357,group00277
AAA278I18.genome.CDS.1803,group01133
AAA278I18.genome.CDS.1097,group00876
AAA278I18.genome.CDS.1018,group00431
AAA278I18.genome.CDS.1019,group00436
AAA278I18.genome.CDS.1012,group00655
AAA278I18.genome.CDS.1013,group00477
AAA278I18.genome.CDS.1010,group00607
AAA278I18.genome.CDS.1011,group01093
AAA278I18.genome.CDS.1016,group00426
AAA278I18.genome.CDS.1017,group00389
AAA278I18.genome.CDS.1014,group01195
AAA278I18.genome.CDS.1015,group00318
AAA278I18.genome.CDS.1621,group00305
AAA278I18.genome.CDS.1139,group00809
AAA278I18.genome.CDS.1152,group01092
AAA278I18.genome.CDS.1418,group01678
AAA278I18.genome.CDS.1151,group00603
AAA278I18.genome.CDS.1863,group01282
AAA278I18.genome.CDS.1099,group00290
AAA278I18.genome.CDS.1862,group00785
AAA278I18.genome.CDS.1625,group01036
AAA278I18.genome.CDS.1624,group00576
AAA278I18.genome.CDS.1155,group00212
AAA278I18.genome.CDS.1626,group00770
AAA278I18.genome.CDS.1719,group00732
AAA278I18.genome.CDS.1431,group00347
AAA278I18.genome.CDS.430,group00794
AAA278I18.genome.CDS.1902,group00685
AAA278I18.genome.CDS.1610,group00430
AAA278I18.genome.CDS.1868,group01106
AAA278I18.genome.CDS.1718,group00775
AAA278I18.genome.CDS.1611,group01579
AAA278I18.genome.CDS.1425,group01611
AAA278I18.genome.CDS.1389,group00280
AAA278I18.genome.CDS.1944,group02351
AAA278I18.genome.CDS.1945,group01215
AAA278I18.genome.CDS.1946,group00714
AAA278I18.genome.CDS.1947,group00988
AAA278I18.genome.CDS.1940,group00547
AAA278I18.genome.CDS.1941,group02181
AAA278I18.genome.CDS.1942,group02049
AAA278I18.genome.CDS.1943,group00499
AAA278I18.genome.CDS.1948,group00934
AAA278I18.genome.CDS.1949,group00028
AAA278I18.genome.CDS.1657,group00035
AAA278I18.genome.CDS.1623,group00113
AAA278I18.genome.CDS.1337,group01075
AAA278I18.genome.CDS.1203,group04707
AAA278I18.genome.CDS.1334,group01441
AAA278I18.genome.CDS.1333,group01063
AAA278I18.genome.CDS.1290,group00033
AAA278I18.genome.CDS.1331,group00353
AAA278I18.genome.CDS.1202,group04708
AAA278I18.genome.CDS.1201,group02213
AAA278I18.genome.CDS.1339,group00729
AAA278I18.genome.CDS.1338,group01261
AAA278I18.genome.CDS.1931,group00611
AAA278I18.genome.CDS.1549,group00589
AAA278I18.genome.CDS.1421,group01823
AAA278I18.genome.CDS.1420,group00707
AAA278I18.genome.CDS.1427,group01025
AAA278I18.genome.CDS.1934,group01667
AAA278I18.genome.CDS.1937,group04716
AAA278I18.genome.CDS.1936,group00139
AAA278I18.genome.CDS.1540,group00169
AAA278I18.genome.CDS.1541,group00638
AAA278I18.genome.CDS.1429,group01528
AAA278I18.genome.CDS.1428,group00242
AAA278I18.genome.CDS.1544,group00011
AAA278I18.genome.CDS.1545,group00636
AAA278I18.genome.CDS.1546,group00056
AAA278I18.genome.CDS.1754,group00320
AAA278I18.genome.CDS.1838,group00643
AAA278I18.genome.CDS.1839,group00669
AAA278I18.genome.CDS.1757,group00307
AAA278I18.genome.CDS.1830,group01669
AAA278I18.genome.CDS.1831,group01365
AAA278I18.genome.CDS.1832,group00613
AAA278I18.genome.CDS.1204,group04706
AAA278I18.genome.CDS.1834,group00337
AAA278I18.genome.CDS.1835,group01668
AAA278I18.genome.CDS.1836,group00037
AAA278I18.genome.CDS.1837,group00792
AAA278I18.genome.CDS.1194,group00710
AAA278I18.genome.CDS.769,group00122
AAA278I18.genome.CDS.1808,group00541
AAA278I18.genome.CDS.1759,group00243
AAA278I18.genome.CDS.1758,group00030
AAA278I18.genome.CDS.1612,group01024
AAA278I18.genome.CDS.1613,group00929
AAA278I18.genome.CDS.1614,group00396
AAA278I18.genome.CDS.1615,group00955
AAA278I18.genome.CDS.1616,group00817
AAA278I18.genome.CDS.1617,group00978
AAA278I18.genome.CDS.1751,group00088
AAA278I18.genome.CDS.1750,group00887
AAA278I18.genome.CDS.1753,group00206
AAA278I18.genome.CDS.1752,group00217
AAA278I18.genome.CDS.1755,group01356
AAA278I18.genome.CDS.1206,group00052
AAA278I18.genome.CDS.1205,group01133
AAA278I18.genome.CDS.1756,group00184
AAA278I18.genome.CDS.1687,group00387
AAA278I18.genome.CDS.1686,group00449
AAA278I18.genome.CDS.1685,group00448
AAA278I18.genome.CDS.1684,group00358
AAA278I18.genome.CDS.1683,group04689
AAA278I18.genome.CDS.1682,group00315
AAA278I18.genome.CDS.1681,group00359
AAA278I18.genome.CDS.1761,group00908
AAA278I18.genome.CDS.1724,group02211
AAA278I18.genome.CDS.1725,group01043
AAA278I18.genome.CDS.1726,group01179
AAA278I18.genome.CDS.1680,group00758
AAA278I18.genome.CDS.1720,group00959
AAA278I18.genome.CDS.1721,group04690
AAA278I18.genome.CDS.1722,group01837
AAA278I18.genome.CDS.1723,group00790
AAA278I18.genome.CDS.1056,group00362
AAA278I18.genome.CDS.1057,group00257
AAA278I18.genome.CDS.1054,group00425
AAA278I18.genome.CDS.1055,group00394
AAA278I18.genome.CDS.1052,group00306
AAA278I18.genome.CDS.1053,group00202
AAA278I18.genome.CDS.1050,group00592
AAA278I18.genome.CDS.1118,group00313
AAA278I18.genome.CDS.1117,group00659
AAA278I18.genome.CDS.1116,group00314
AAA278I18.genome.CDS.1115,group00293
AAA278I18.genome.CDS.1114,group00144
AAA278I18.genome.CDS.1113,group00377
AAA278I18.genome.CDS.1112,group00498
AAA278I18.genome.CDS.1058,group00381
AAA278I18.genome.CDS.1059,group00136
AAA278I18.genome.CDS.1881,group00990
AAA278I18.genome.CDS.1689,group00137
AAA278I18.genome.CDS.1880,group01193
AAA278I18.genome.CDS.1228,group01194
AAA278I18.genome.CDS.1688,group00348
AAA278I18.genome.CDS.448,group00960
AAA278I18.genome.CDS.1619,group00135
AAA278I18.genome.CDS.1939,group00484
AAA278I18.genome.CDS.364,group00574
AAA278I18.genome.CDS.367,group00692
AAA278I18.genome.CDS.1760,group00321
AAA278I18.genome.CDS.1932,group00543
AAA278I18.genome.CDS.1364,group00549
AAA278I18.genome.CDS.1591,group00258
AAA278I18.genome.CDS.1510,group01423
AAA278I18.genome.CDS.1365,group00520
AAA278I18.genome.CDS.1547,group00542
AAA278I18.genome.CDS.1386,group01017
AAA278I18.genome.CDS.1729,group00440
AAA278I18.genome.CDS.1571,group00335
AAA278I18.genome.CDS.1570,group00125
AAA278I18.genome.CDS.1573,group00110
AAA278I18.genome.CDS.1572,group00120
AAA278I18.genome.CDS.1575,group00601
AAA278I18.genome.CDS.1574,group00040
AAA278I18.genome.CDS.1577,group01518
AAA278I18.genome.CDS.1576,group00772
AAA278I18.genome.CDS.1579,group00109
AAA278I18.genome.CDS.1578,group00846
AAA278I18.genome.CDS.1387,group00281
AAA278I18.genome.CDS.1504,group00014
AAA278I18.genome.CDS.1505,group01349
AAA278I18.genome.CDS.1506,group00954
AAA278I18.genome.CDS.1507,group01379
AAA278I18.genome.CDS.1500,group01275
AAA278I18.genome.CDS.1501,group01604
AAA278I18.genome.CDS.1502,group00009
AAA278I18.genome.CDS.1503,group00712
AAA278I18.genome.CDS.1051,group04682
AAA278I18.genome.CDS.1508,group01779
AAA278I18.genome.CDS.1367,group00517
AAA278I18.genome.CDS.972,group00075
AAA278I18.genome.CDS.1728,group00288
AAA278I18.genome.CDS.1874,group04699
AAA278I18.genome.CDS.1875,group00015
AAA278I18.genome.CDS.1876,group02219
AAA278I18.genome.CDS.1877,group01136
AAA278I18.genome.CDS.1870,group00886
AAA278I18.genome.CDS.1871,group01262
AAA278I18.genome.CDS.1872,group01383
AAA278I18.genome.CDS.1873,group01479
AAA278I18.genome.CDS.1971,group00819
AAA278I18.genome.CDS.1970,group00895
AAA278I18.genome.CDS.1485,group00017
AAA278I18.genome.CDS.1484,group00747
AAA278I18.genome.CDS.1487,group00018
AAA278I18.genome.CDS.604,group00336
AAA278I18.genome.CDS.1481,group00467
AAA278I18.genome.CDS.1480,group00746
AAA278I18.genome.CDS.1483,group00042
AAA278I18.genome.CDS.1482,group01070
AAA278I18.genome.CDS.166,group01107
AAA278I18.genome.CDS.1489,group01622
AAA278I18.genome.CDS.1488,group00417
AAA278I18.genome.CDS.1938,group00323
AAA278I18.genome.CDS.1715,group00623
AAA278I18.genome.CDS.1714,group00602
AAA278I18.genome.CDS.1717,group00845
AAA278I18.genome.CDS.1899,group01409
AAA278I18.genome.CDS.1711,group00069
AAA278I18.genome.CDS.1710,group01836
AAA278I18.genome.CDS.1713,group00782
AAA278I18.genome.CDS.1712,group01187
AAA278I18.genome.CDS.1892,group00821
AAA278I18.genome.CDS.1893,group02262
AAA278I18.genome.CDS.1890,group00508
AAA278I18.genome.CDS.1891,group02050
AAA278I18.genome.CDS.1896,group04702
AAA278I18.genome.CDS.1897,group04701
AAA278I18.genome.CDS.1894,group04703
AAA278I18.genome.CDS.1895,group01906
AAA278I18.genome.CDS.1373,group00008
AAA278I18.genome.CDS.1479,group00745
AAA278I18.genome.CDS.1371,group00462
AAA278I18.genome.CDS.1802,group00142
AAA278I18.genome.CDS.1805,group00049
AAA278I18.genome.CDS.1376,group00209
AAA278I18.genome.CDS.1375,group00511
AAA278I18.genome.CDS.1806,group00049
AAA278I18.genome.CDS.1470,group00351
AAA278I18.genome.CDS.1471,group00428
AAA278I18.genome.CDS.1472,group00828
AAA278I18.genome.CDS.1378,group00087
AAA278I18.genome.CDS.1474,group01020
AAA278I18.genome.CDS.1475,group01271
AAA278I18.genome.CDS.1476,group00023
AAA278I18.genome.CDS.1477,group00199
AAA278I18.genome.CDS.1598,group00544
AAA278I18.genome.CDS.1250,group01364
AAA278I18.genome.CDS.1398,group00696
AAA278I18.genome.CDS.1252,group00000
AAA278I18.genome.CDS.1253,group01350
AAA278I18.genome.CDS.1254,group01060
AAA278I18.genome.CDS.1255,group01200
AAA278I18.genome.CDS.1256,group01108
AAA278I18.genome.CDS.1257,group01210
AAA278I18.genome.CDS.1391,group00216
AAA278I18.genome.CDS.1390,group00409
AAA278I18.genome.CDS.1393,group00863
AAA278I18.genome.CDS.1392,group00438
AAA278I18.genome.CDS.1395,group00573
AAA278I18.genome.CDS.1394,group01006
AAA278I18.genome.CDS.1397,group00038
AAA278I18.genome.CDS.1396,group00529
AAA278I18.genome.CDS.1092,group00799
AAA278I18.genome.CDS.1628,group00891
AAA278I18.genome.CDS.1090,group00252
AAA278I18.genome.CDS.1091,group00376
AAA278I18.genome.CDS.1096,group00875
AAA278I18.genome.CDS.1829,group00356
AAA278I18.genome.CDS.1094,group00665
AAA278I18.genome.CDS.1095,group00640
AAA278I18.genome.CDS.1153,group01046
AAA278I18.genome.CDS.1620,group00234
AAA278I18.genome.CDS.1098,group00222
AAA278I18.genome.CDS.1411,group00866
AAA278I18.genome.CDS.1157,group00443
AAA278I18.genome.CDS.1156,group00949
AAA278I18.genome.CDS.1627,group00728
AAA278I18.genome.CDS.1154,group00403
AAA278I18.genome.CDS.1459,group00948
AAA278I18.genome.CDS.1658,group00552
AAA278I18.genome.CDS.1659,group01162
AAA278I18.genome.CDS.1654,group01163
AAA278I18.genome.CDS.1655,group00400
AAA278I18.genome.CDS.1656,group00582
AAA278I18.genome.CDS.1161,group00388
AAA278I18.genome.CDS.1650,group04687
AAA278I18.genome.CDS.1651,group00865
AAA278I18.genome.CDS.1652,group00302
AAA278I18.genome.CDS.1653,group00178
AAA278I18.genome.CDS.1727,group00367
AAA278I18.genome.CDS.1029,group00131
AAA278I18.genome.CDS.1028,group00100
AAA278I18.genome.CDS.1027,group00099
AAA278I18.genome.CDS.1026,group00700
AAA278I18.genome.CDS.1025,group00566
AAA278I18.genome.CDS.1024,group00675
AAA278I18.genome.CDS.1023,group00271
AAA278I18.genome.CDS.1022,group00239
AAA278I18.genome.CDS.1021,group00717
AAA278I18.genome.CDS.1020,group00089
AAA278I18.genome.CDS.1241,group01295
AAA278I18.genome.CDS.1913,group01300
AAA278I18.genome.CDS.1958,group00545
AAA278I18.genome.CDS.1169,group00015
AAA278I18.genome.CDS.1521,group00327
AAA278I18.genome.CDS.1528,group00341
AAA278I18.genome.CDS.1129,group00016
AAA278I18.genome.CDS.1408,group00112
AAA278I18.genome.CDS.1529,group00625
AAA278I18.genome.CDS.1350,group00483
AAA278I18.genome.CDS.1800,group01234
AAA278I18.genome.CDS.968,group00050
