,Annotations
group00370,"['None Provided']; ['DNA-binding response regulator, LuxR family']; ['None Provided', 'None Provided', 'None Provided']; ['hypothetical protein']; ['DNA-binding response regulator, LuxR family', 'two component transcriptional regulator, LuxR family']"
group00371,"['LSU ribosomal protein L19p', 'LSU ribosomal protein L19p']; ['LSU ribosomal protein L19p']"
group00372,"['Methionyl-tRNA synthetase (EC 6.1.1.10)']; ['Methionyl-tRNA synthetase (EC 6.1.1.10)', 'Methionyl-tRNA synthetase (EC 6.1.1.10)']"
group00373,"['Dihydroxy-acid dehydratase (EC 4.2.1.9)']; ['Dihydroxy-acid dehydratase (EC 4.2.1.9)', 'Dihydroxy-acid dehydratase (EC 4.2.1.9)']"
group00374,['FIG01050400: hypothetical protein']; ['hypothetical protein']; ['FIG00511460: hypothetical protein']
group00375,['Nucleoside triphosphate pyrophosphohydrolase MazG (EC 3.6.1.8)']
group00376,['Methionyl-tRNA formyltransferase (EC 2.1.2.9)']
group00377,"['tRNA (adenine(58)-N(1))-methyltransferase (EC 2.1.1.220)']; ['tRNA (adenine(58)-N(1))-methyltransferase (EC 2.1.1.220)', 'tRNA (adenine(58)-N(1))-methyltransferase (EC 2.1.1.220)']"
group00378,"['NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)']; ['NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)', 'NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)']"
group00379,"['SSU ribosomal protein S1p', 'SSU ribosomal protein S1p']; ['SSU ribosomal protein S1p']"
group00380,"['ATP synthase gamma chain (EC 3.6.3.14)', 'ATP synthase gamma chain (EC 3.6.3.14)']; ['ATP synthase gamma chain (EC 3.6.3.14)']"
group00381,['Protein-export membrane protein SecF (TC 3.A.5.1.1)']
group00382,"['None Provided']; ['Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)']; ['None Provided', 'hypothetical protein']; ['secreted protein']; ['hypothetical protein']; ['hypothetical protein', 'None Provided']"
group00383,"['Glycosyltransferase MshA involved in mycothiol biosynthesis (EC 2.4.1.-)']; ['Glycosyltransferase MshA involved in mycothiol biosynthesis (EC 2.4.1.-)', 'Glycosyltransferase MshA involved in mycothiol biosynthesis (EC 2.4.1.-)']"
group00384,"['DNA polymerase III alpha subunit (EC 2.7.7.7)']; ['DNA polymerase III alpha subunit (EC 2.7.7.7)', 'DNA polymerase III alpha subunit (EC 2.7.7.7)']"
group00385,"['1,4-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74)']"
group00386,"['Pyruvate kinase (EC 2.7.1.40)']; ['Pyruvate kinase (EC 2.7.1.40)', 'Pyruvate kinase (EC 2.7.1.40)']"
group00387,"['NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3)']; ['NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3)', 'NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3)']"
group00388,"['None Provided']; ['ATP synthase delta chain (EC 3.6.3.14)', 'ATP synthase delta chain (EC 3.6.3.14)']; ['hypothetical protein', 'ATP synthase delta chain (EC 3.6.3.14)']; ['hypothetical protein']; ['ATP synthase delta chain (EC 3.6.3.14)']"
group00389,['tRNA pseudouridine synthase B (EC 4.2.1.70)']
group00390,"['DNA recombination protein RmuC', 'DNA recombination protein RmuC']; ['DNA recombination protein RmuC']; ['None Provided']"
group00391,"['Probable serine/threonine-protein kinase pknL (EC 2.7.11.1)']; ['Serine/threonine protein kinase PrkC, regulator of stationary phase']; ['Serine/threonine protein kinase PrkC, regulator of stationary phase', 'hypothetical protein']; ['Serine/threonine protein kinase PrkC, regulator of stationary phase', 'Serine/threonine protein kinase PrkC, regulator of stationary phase']"
group00392,"['Putrescine ABC transporter putrescine-binding protein PotF (TC 3.A.1.11.2)', 'Putrescine ABC transporter putrescine-binding protein PotF (TC 3.A.1.11.2)']; ['Putrescine ABC transporter putrescine-binding protein PotF (TC 3.A.1.11.2)']"
group00393,"['Ornithine carbamoyltransferase (EC 2.1.3.3)']; ['Ornithine carbamoyltransferase (EC 2.1.3.3)', 'Ornithine carbamoyltransferase (EC 2.1.3.3)']"
group00394,['Holliday junction DNA helicase RuvA']
group00395,"['None Provided']; ['Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)']; ['hypothetical protein', 'Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)']; ['Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)', 'Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)']; ['Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)', 'None Provided']; ['Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)']; ['hypothetical protein']"
group00396,"['2-oxoglutarate decarboxylase (EC 4.1.1.71)']; ['2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)', '2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)']; ['2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)']"
group00397,"['GTP-binding protein TypA/BipA']; ['GTP-binding protein TypA/BipA', 'GTP-binding protein TypA/BipA']"
group00398,"['Cell division protein MraZ', 'Cell division protein MraZ']; ['Cell division protein MraZ']"
group00399,"['Cell division trigger factor (EC 5.2.1.8)', 'Cell division trigger factor (EC 5.2.1.8)']; ['Cell division trigger factor (EC 5.2.1.8)']"
group00400,"[""23S rRNA (guanosine(2251)-2'-O)-methyltransferase (EC 2.1.1.185)""]; [""23S rRNA (guanosine-2'-O-) -methyltransferase rlmB (EC 2.1.1.-)""]; [""23S rRNA (guanosine-2'-O-) -methyltransferase rlmB (EC 2.1.1.-)"", ""23S rRNA (guanosine(2251)-2'-O)-methyltransferase (EC 2.1.1.185)""]"
group00401,"['None Provided']; ['None Provided', 'None Provided']; ['hypothetical protein']"
group00402,"['Amino acid permease', 'None Provided']; ['hypothetical protein', 'Amino acid permease', 'Amino acid permease', 'Amino acid permease']; ['None Provided', 'hypothetical protein']; ['Amino acid permease']; ['FIG01132538: hypothetical protein']; ['hypothetical protein']"
group00403,['ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17)']
group00404,['LSU ribosomal protein L20p']
group00405,"['Cytochrome oxidase assembly protein', 'Cytochrome oxidase assembly protein']; ['Cytochrome oxidase assembly protein', 'Cytochrome oxidase assembly protein', 'Cytochrome oxidase assembly protein']; ['Cytochrome oxidase assembly protein']"
group00406,['Cytochrome c oxidase polypeptide III (EC 1.9.3.1)']
group00407,"['Intramembrane protease RasP/YluC, implicated in cell division based on FtsL cleavage']; ['Membrane-associated zinc metalloprotease']"
group00408,"['ATP synthase alpha chain (EC 3.6.3.14)', 'ATP synthase alpha chain (EC 3.6.3.14)']; ['ATP synthase alpha chain (EC 3.6.3.14)']"
group00409,['LSU ribosomal protein L9p']
group00410,"['Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)', 'Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)']; ['Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)']"
group00411,['ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)']
group00412,['Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36) / Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)']
group00413,['NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)']
group00414,['Phosphoglycerate kinase (EC 2.7.2.3)']
group00415,"['transcriptional regulator, MerR family']; ['transcriptional regulator, MerR family', 'transcriptional regulator, MerR family']; ['hypothetical protein']; ['hypothetical protein', 'transcriptional regulator, MerR family']"
group00416,"['Ubiquinol--cytochrome c reductase, cytochrome B subunit (EC 1.10.2.2)']"
group00417,"['DNA topoisomerase I (EC 5.99.1.2)', 'DNA topoisomerase I (EC 5.99.1.2)']; ['DNA topoisomerase I (EC 5.99.1.2)']"
group00418,['DNA polymerase III delta prime subunit (EC 2.7.7.7)']
group00419,"['Threonine synthase (EC 4.2.3.1)', 'Threonine synthase (EC 4.2.3.1)']; ['Threonine synthase (EC 4.2.3.1)']"
group00420,"['Naphthoate synthase (EC 4.1.3.36)', 'Naphthoate synthase (EC 4.1.3.36)']; ['Naphthoate synthase (EC 4.1.3.36)']"
group00421,"['Octanoate-[acyl-carrier-protein]-protein-N-octanoyltransferase']; ['Cytochrome c oxidase polypeptide II (EC 1.9.3.1)']; ['Cytochrome c oxidase polypeptide II (EC 1.9.3.1)', 'Cytochrome c oxidase polypeptide II (EC 1.9.3.1)']"
group00422,['NAD kinase (EC 2.7.1.23)']
group00423,"['GTP-binding protein EngA', 'GTP-binding protein EngA']; ['GTP-binding protein EngA']"
group00424,['None Provided']; ['Acyl carrier protein']
group00425,['Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)']
group00426,['Ribosome-binding factor A']
group00427,"['Chaperone protein DnaK']; ['Chaperone protein DnaK', 'Chaperone protein DnaK', 'Chaperone protein DnaK']"
group00428,"['N-succinyl-L,L-diaminopimelate aminotransferase (EC 2.6.1.17), type 2']; ['N-succinyl-L,L-diaminopimelate aminotransferase (EC 2.6.1.17), type 2', 'N-succinyl-L,L-diaminopimelate aminotransferase (EC 2.6.1.17), type 2']"
group00429,"['Exopolyphosphatase (EC 3.6.1.11)', 'Exopolyphosphatase (EC 3.6.1.11)']; ['Exopolyphosphatase (EC 3.6.1.11)']"
group00430,"['Argininosuccinate synthase (EC 6.3.4.5)', 'Argininosuccinate synthase (EC 6.3.4.5)']; ['Argininosuccinate synthase (EC 6.3.4.5)']"
group00431,"['Riboflavin kinase (EC 2.7.1.26) / FMN adenylyltransferase (EC 2.7.7.2)', 'Riboflavin kinase (EC 2.7.1.26) / FMN adenylyltransferase (EC 2.7.7.2)']; ['Riboflavin kinase (EC 2.7.1.26) / FMN adenylyltransferase (EC 2.7.7.2)']"
group00432,"['Cysteine synthase (EC 2.5.1.47)', 'Cysteine synthase (EC 2.5.1.47)']; ['Cysteine synthase (EC 2.5.1.47)']; ['Cysteine synthase B (EC 2.5.1.47)']"
group00433,"['None Provided']; ['Threonine dehydrogenase and related Zn-dependent dehydrogenases', 'Quinone oxidoreductase (EC 1.6.5.5)']; ['Bifunctional protein: zinc-containing alcohol dehydrogenase; quinone oxidoreductase ( NADPH:quinone reductase) (EC 1.1.1.-); Similar to arginate lyase']; ['Quinone oxidoreductase (EC 1.6.5.5)', 'None Provided']; ['Quinone oxidoreductase (EC 1.6.5.5)']; ['hypothetical protein']"
group00434,"['None Provided']; ['D-xylose transport ATP-binding protein XylG', 'D-xylose transport ATP-binding protein XylG']; ['None Provided', 'None Provided', 'D-xylose transport ATP-binding protein XylG']; ['D-xylose transport ATP-binding protein XylG']; ['None Provided', 'D-xylose transport ATP-binding protein XylG', 'None Provided']; ['Fructose ABC transporter, ATP-binding component FrcA']; ['None Provided', 'Inositol transport system ATP-binding protein']; ['D-xylose transport ATP-binding protein XylG', 'Fructose ABC transporter, ATP-binding component FrcA']; ['None Provided', 'Inositol transport system ATP-binding protein', 'D-xylose transport ATP-binding protein XylG']; ['Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)']; ['None Provided', 'Fructose ABC transporter, ATP-binding component FrcA']; ['None Provided', 'D-xylose transport ATP-binding protein XylG']"
group00435,"['Succinate-semialdehyde dehydrogenase [NAD(P)+] (EC 1.2.1.16)']; ['Succinate-semialdehyde dehydrogenase [NAD(P)+] (EC 1.2.1.16)', 'Succinate-semialdehyde dehydrogenase [NAD(P)+] (EC 1.2.1.16)']"
group00436,['SSU ribosomal protein S15p (S13e)']
group00437,"['(R)-citramalate synthase (EC 2.3.1.182)']; ['(R)-citramalate synthase (EC 2.3.1.182)', '(R)-citramalate synthase (EC 2.3.1.182)']"
group00438,"['None Provided']; ['Carbonic anhydrase (EC 4.2.1.1)', 'Carbonic anhydrase (EC 4.2.1.1)']; ['Carbonic anhydrase (EC 4.2.1.1)']; ['Carbonic anhydrase (EC 4.2.1.1)', 'Carbonic anhydrase (EC 4.2.1.1)', 'Carbonic anhydrase (EC 4.2.1.1)']"
group00439,"['response regulator']; ['Response regulator NasT']; ['response regulator', 'response regulator']; ['putative two-component system response regulator']"
group00440,['Recombination protein RecR']
group00441,"['None Provided']; ['Phosphoglycerate mutase (EC 5.4.2.1)']; ['None Provided', 'None Provided']; ['hypothetical protein']; ['Alcohol dehydrogenase (EC 1.1.1.1)']"
group00442,"['None Provided']; ['rRNA small subunit methyltransferase I', 'rRNA small subunit methyltransferase I']; ['rRNA small subunit methyltransferase I']"
group00443,"['ATP synthase epsilon chain (EC 3.6.3.14)', 'ATP synthase epsilon chain (EC 3.6.3.14)']; ['ATP synthase epsilon chain (EC 3.6.3.14)']"
group00444,"['Dihydroorotate dehydrogenase, catalytic subunit (EC 1.3.3.1)']; ['Dihydroorotate dehydrogenase, catalytic subunit (EC 1.3.3.1)', 'None Provided']"
group00445,['Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)']
group00446,['Site-specific tyrosine recombinase XerD']
group00447,['Segregation and condensation protein B']
group00448,"['NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)', 'NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)']; ['NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)']"
group00449,"['NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)']; ['NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)', 'NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)']"
group00450,"['Acetolactate synthase small subunit (EC 2.2.1.6)', 'Acetolactate synthase small subunit (EC 2.2.1.6)']; ['Acetolactate synthase small subunit (EC 2.2.1.6)']"
group00451,"['Potassium channel beta chain', 'Potassium channel beta chain']; ['Potassium channel beta chain']; ['None Provided']; ['putative oxidoreductase']; ['putative oxidoreductase', 'Potassium channel beta chain']"
group00452,"['Rod shape-determining protein MreC', 'Rod shape-determining protein MreC']; ['Rod shape-determining protein MreC']"
group00453,"['Putrescine transport system permease protein PotH (TC 3.A.1.11.2)', 'Putrescine transport system permease protein PotH (TC 3.A.1.11.2)']; ['Putrescine transport system permease protein PotH (TC 3.A.1.11.2)']"
group00454,"['DNA polymerase IV (EC 2.7.7.7)', 'DNA polymerase IV (EC 2.7.7.7)']; ['DNA polymerase IV (EC 2.7.7.7)']"
group00455,"['Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)', 'Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)']; ['Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)']"
group00456,"['Trk system potassium uptake protein TrkA', 'Trk system potassium uptake protein TrkA']; ['Trk system potassium uptake protein TrkA', 'Trk system potassium uptake protein TrkA', 'Trk system potassium uptake protein TrkA', 'Trk system potassium uptake protein TrkA']; ['Trk system potassium uptake protein TrkA']"
group00457,"['Phosphoglucosamine mutase (EC 5.4.2.10)']; ['Phosphoglucosamine mutase (EC 5.4.2.10)', 'Phosphoglucosamine mutase (EC 5.4.2.10)']"
group00458,"['None Provided']; ['FIG021292: hypothetical protein', 'FIG021292: hypothetical protein']; ['FIG021292: hypothetical protein']"
group00459,"['N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23) / Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)', 'N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23) / Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)']; ['N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23) / Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)']"
group00460,"['DNA polymerase III subunits gamma and tau (EC 2.7.7.7)']; ['DNA polymerase III subunits gamma and tau (EC 2.7.7.7)', 'DNA polymerase III subunits gamma and tau (EC 2.7.7.7)']"
group00461,['Translation initiation factor 3']
group00462,"['RNA-binding protein Jag']; ['RNA-binding protein Jag', 'RNA-binding protein Jag']"
group00463,['DNA polymerase III beta subunit (EC 2.7.7.7)']
group00464,"['3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)', '3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)']; ['3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)']"
group00465,['Segregation and condensation protein A']
group00466,['Ribosomal large subunit pseudouridine synthase B (EC 4.2.1.70)']
group00467,"['None Provided']; ['Mg/Co/Ni transporter MgtE, CBS domain-containing']; ['Mg/Co/Ni transporter MgtE / CBS domain']; ['hypothetical protein']"
group00468,"['Histidinol dehydrogenase (EC 1.1.1.23)', 'Histidinol dehydrogenase (EC 1.1.1.23)']; ['Histidinol dehydrogenase (EC 1.1.1.23)']"
group00469,['Heat shock protein GrpE']
group00470,['Histidinol-phosphate aminotransferase (EC 2.6.1.9)']
group00471,"['Putrescine transport system permease protein PotI (TC 3.A.1.11.2)']; ['Putrescine transport system permease protein PotI (TC 3.A.1.11.2)', 'Putrescine transport system permease protein PotI (TC 3.A.1.11.2)']"
group00472,"['DinG family ATP-dependent helicase YoaA', 'DinG family ATP-dependent helicase YoaA']; ['DinG family ATP-dependent helicase YoaA']"
group00473,"['None Provided']; ['None Provided', 'hypothetical protein']; ['protein of unknown function UPF0118']; ['hypothetical protein']"
group00474,"['Enoyl-CoA hydratase (EC 4.2.1.17)']; ['Enoyl-CoA hydratase (EC 4.2.1.17)', 'Enoyl-CoA hydratase (EC 4.2.1.17)']"
group00475,"['Phosphoserine phosphatase (EC 3.1.3.3)']; ['Phosphoserine phosphatase (EC 3.1.3.3)', 'Phosphoserine phosphatase (EC 3.1.3.3)']"
group00476,"['tRNA-i(6)A37 methylthiotransferase']; ['Trk system potassium uptake protein TrkA', 'Trk system potassium uptake protein TrkA']; ['Trk system potassium uptake protein TrkA']; ['Trk system potassium uptake protein TrkA', 'Trk system potassium uptake protein TrkA', 'Trk system potassium uptake protein TrkA', 'Trk system potassium uptake protein TrkA']"
group00477,['Transcription termination protein NusA']
group00478,"['Serine phosphatase RsbU, regulator of sigma subunit']; ['Signal transduction histidine kinase, subgroup 2', 'Signal transduction histidine kinase, subgroup 2']; ['Signal transduction histidine kinase, subgroup 2']; ['Serine phosphatase RsbU, regulator of sigma subunit', 'Signal transduction histidine kinase, subgroup 2']"
group00479,"['PLP-dependent aminotransferase NCgl2355 (class III)', 'PLP-dependent aminotransferase NCgl2355 (class III)']; ['PLP-dependent aminotransferase NCgl2355 (class III)']"
group00480,"['Putative iron-sulfur cluster assembly scaffold protein for SUF system, SufE2']; ['Putative iron-sulfur cluster assembly scaffold protein for SUF system, SufE2', 'Putative iron-sulfur cluster assembly scaffold protein for SUF system, SufE2']; ['Putative iron-sulfur cluster assembly scaffold protein for SUF system, SufE2', 'Iron-sulfur cluster assembly scaffold protein IscU']"
group00481,['Anthranilate phosphoribosyltransferase (EC 2.4.2.18)']
group00482,"['None Provided']; ['HIT family protein', 'HIT family protein']; ['HIT family protein']; ['FIG049476: HIT family protein']"
group00483,['Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4)']
group00484,"['Ferredoxin, 2Fe-2S', 'Ferredoxin, 2Fe-2S']; ['None Provided']; ['Ferredoxin, 2Fe-2S']"
group00485,"['None Provided']; ['FIG01123415: hypothetical protein', 'FIG01123415: hypothetical protein', 'FIG01123415: hypothetical protein', 'FIG01123415: hypothetical protein']; ['hypothetical protein']; ['FIG01123415: hypothetical protein']"
group00486,"['GTP-binding and nucleic acid-binding protein YchF', 'GTP-binding and nucleic acid-binding protein YchF']; ['GTP-binding and nucleic acid-binding protein YchF']"
group00487,"['None Provided']; ['None Provided', 'Ribokinase (EC 2.7.1.15)']; ['Ribokinase (EC 2.7.1.15)']; ['hypothetical protein', 'hypothetical protein']; ['Ribokinase (EC 2.7.1.15)', 'Ribokinase (EC 2.7.1.15)', 'Ribokinase (EC 2.7.1.15)']; ['hypothetical protein']"
group00488,"['Hypothetical ATP-binding protein UPF0042, contains P-loop']; ['FIG000506: Predicted P-loop-containing kinase']; ['FIG000506: Predicted P-loop-containing kinase', 'FIG000506: Predicted P-loop-containing kinase']"
group00489,"['HspR, transcriptional repressor of DnaK operon']"
group00490,['Orotate phosphoribosyltransferase (EC 2.4.2.10)']
group00491,"['Dephospho-CoA kinase (EC 2.7.1.24)', 'None Provided']; ['Dephospho-CoA kinase (EC 2.7.1.24)', 'Dephospho-CoA kinase (EC 2.7.1.24)']; ['Dephospho-CoA kinase (EC 2.7.1.24)']"
group00492,['LSU ribosomal protein L35p']
group00493,"['None Provided']; ['None Provided', 'None Provided']; ['FIG00672531: hypothetical protein']; ['hypothetical protein']"
group00494,"['Inner membrane protein translocase component YidC, long form']"
group00495,['Heat shock protein 60 family co-chaperone GroES']
group00496,"['Alkaline phosphodiesterase I (EC 3.1.4.1) / Nucleotide pyrophosphatase (EC 3.6.1.9)', 'Alkaline phosphodiesterase I (EC 3.1.4.1) / Nucleotide pyrophosphatase (EC 3.6.1.9)']; ['None Provided', 'Alkaline phosphodiesterase I (EC 3.1.4.1) / Nucleotide pyrophosphatase (EC 3.6.1.9)']; ['Alkaline phosphodiesterase I (EC 3.1.4.1) / Nucleotide pyrophosphatase (EC 3.6.1.9)']"
group00497,"['IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)']; ['IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)', 'IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)']"
group00498,"['None Provided']; ['2-deoxyglucose-6-phosphate hydrolase YniC']; ['Putative phosphatase YfbT']; ['Beta-phosphoglucomutase (EC 5.4.2.6)']; ['None Provided', 'hypothetical protein']; ['None Provided', 'None Provided']; ['hypothetical protein']"
group00499,"['Iron-sulfur cluster assembly protein SufB']; ['Iron-sulfur cluster assembly protein SufB', 'Iron-sulfur cluster assembly protein SufB']"
group00500,"['None Provided']; ['Transcriptional regulator, FUR family', 'Transcriptional regulator, FUR family']; ['Transcriptional regulator, FUR family']"
group00501,"['Adenylosuccinate lyase (EC 4.3.2.2)', 'Adenylosuccinate lyase (EC 4.3.2.2)']; ['Adenylosuccinate lyase (EC 4.3.2.2)']"
group00502,"['None Provided']; ['Biotin--protein ligase (EC 6.3.4.9, EC 6.3.4.10, EC 6.3.4.11, EC 6.3.4.15)']; ['hypothetical protein']; ['Biotin--protein ligase (EC 6.3.4.9)(EC 6.3.4.10)(EC 6.3.4.11)(EC 6.3.4.15)']"
group00503,"[""3'-to-5' oligoribonuclease (orn)""]; [""3'-to-5' oligoribonuclease (orn)"", ""3'-to-5' oligoribonuclease (orn)""]"
group00504,"[""Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)"", ""Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)""]; [""Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)""]"
group00505,"['Folate-dependent protein for Fe/S cluster synthesis/repair in oxidative stress', 'Folate-dependent protein for Fe/S cluster synthesis/repair in oxidative stress']; ['Folate-dependent protein for Fe/S cluster synthesis/repair in oxidative stress']"
group00506,"['ATP synthase F0 sector subunit c (EC 3.6.3.14)', 'ATP synthase F0 sector subunit c (EC 3.6.3.14)']; ['ATP synthase F0 sector subunit c (EC 3.6.3.14)']"
group00507,"['ATP synthase F0 sector subunit b (EC 3.6.3.14)']; ['ATP synthase F0 sector subunit b (EC 3.6.3.14)', 'ATP synthase F0 sector subunit b (EC 3.6.3.14)']"
group00508,['Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)']; ['hypothetical protein']
group00509,"['L-aspartate oxidase (EC 1.4.3.16)', 'L-aspartate oxidase (EC 1.4.3.16)']; ['None Provided', 'L-aspartate oxidase (EC 1.4.3.16)']; ['None Provided']; ['L-aspartate oxidase (EC 1.4.3.16)']"
group00510,"['Permease of the drug/metabolite transporter (DMT) superfamily', 'Permease of the drug/metabolite transporter (DMT) superfamily']; ['Permease of the drug/metabolite transporter (DMT) superfamily', 'Permease of the drug/metabolite transporter (DMT) superfamily', 'Permease of the drug/metabolite transporter (DMT) superfamily', 'Permease of the drug/metabolite transporter (DMT) superfamily']; ['Permease of the drug/metabolite transporter (DMT) superfamily']"
group00511,"['Aspartate aminotransferase (AspB-4) (EC 2.6.1.1)']; ['Aspartate aminotransferase (AspB-4) (EC 2.6.1.1)', 'Aspartate aminotransferase (AspB-4) (EC 2.6.1.1)']"
group00512,"['Phosphoglycerate mutase (EC 5.4.2.11)', 'Phosphoglycerate mutase (EC 5.4.2.11)']; ['Phosphoglycerate mutase (EC 5.4.2.11)']"
group00513,"['Gamma-glutamyl phosphate reductase (EC 1.2.1.41)', 'Gamma-glutamyl phosphate reductase (EC 1.2.1.41)']; ['Gamma-glutamyl phosphate reductase (EC 1.2.1.41)']"
group00514,"['Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake']; ['Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake', 'Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake']"
group00515,"['putative cytochrome P450 hydroxylase', 'putative cytochrome P450 hydroxylase']; ['putative cytochrome P450 hydroxylase']"
group00516,"['Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1)', 'Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1)']; ['Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1)']"
group00517,['Chromosomal replication initiator protein DnaA']
group00518,"['None Provided']; ['None Provided', 'Apolipoprotein N-acyltransferase (EC 2.3.1.-) in lipid-linked oligosaccharide synthesis cluster']; ['Apolipoprotein N-acyltransferase (EC 2.3.1.-) / Copper homeostasis protein CutE', 'hypothetical protein', 'hypothetical protein']; ['None Provided', 'None Provided']; ['Apolipoprotein N-acyltransferase (EC 2.3.1.-) in lipid-linked oligosaccharide synthesis cluster']; ['hypothetical protein']; ['Apolipoprotein N-acyltransferase (EC 2.3.1.-)']"
group00519,"['Argininosuccinate lyase (EC 4.3.2.1)']; ['Argininosuccinate lyase (EC 4.3.2.1)', 'Argininosuccinate lyase (EC 4.3.2.1)']"
group00520,['DNA recombination and repair protein RecF']
group00521,['ATP-dependent Clp protease adaptor protein ClpS']
group00522,"['SSU ribosomal protein S4p (S9e) @ SSU ribosomal protein S4p (S9e), zinc-dependent']; ['SSU ribosomal protein S4p (S9e) @ SSU ribosomal protein S4p (S9e), zinc-dependent', 'SSU ribosomal protein S4p (S9e) @ SSU ribosomal protein S4p (S9e), zinc-dependent']"
group00523,['SSU ribosomal protein S9p (S16e)']
group00524,"['Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)']; ['Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)', 'Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)']"
group00525,['Septum formation protein Maf']
group00526,"['Ribulose-phosphate 3-epimerase (EC 5.1.3.1)']; ['Ribulose-phosphate 3-epimerase (EC 5.1.3.1)', 'Ribulose-phosphate 3-epimerase (EC 5.1.3.1)']"
group00527,"['transcriptional regulator, MerR family']; ['transcriptional regulator, MerR family', 'transcriptional regulator, MerR family']"
group00528,"['Thymidylate kinase (EC 2.7.4.9)', 'domain of unknown function / Thymidylate kinase (EC 2.7.4.9)']; ['Thymidylate kinase (EC 2.7.4.9)']"
group00529,"['None Provided']; ['sensor histidine kinase']; ['hypothetical protein', 'hypothetical protein']; ['hypothetical protein']; ['Osmosensitive K+ channel histidine kinase KdpD (EC 2.7.3.-)']"
group00530,"['RNA binding methyltransferase FtsJ like']; ['RNA binding methyltransferase FtsJ like', 'RNA binding methyltransferase FtsJ like']"
