,Annotation,Total,Confidence
group00802,Probable cytochrome c oxidase polypeptide 4 (EC 1.9.3.1),22,0.5909090909090909
group00803,hypothetical protein,25,0.56
group00804,DNA polymerase III epsilon subunit (EC 2.7.7.7),22,0.9545454545454546
group00805,DedA protein,17,1.0
group00806,None Provided,27,0.6666666666666666
group00807,A/G-specific adenine glycosylase (EC 3.2.2.-),16,1.0
group00808,Phosphoribosylamine--glycine ligase (EC 6.3.4.13),16,1.0
group00809,Aldehyde dehydrogenase (EC 1.2.1.3),31,0.967741935483871
group00810,putative peptidase,31,0.45161290322580644
group00811,Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases,29,0.5862068965517241
group00812,Cell surface protein,6,0.5
group00813,None Provided,23,0.5652173913043478
group00814,hypothetical protein,33,0.7575757575757576
group00815,Cystathionine gamma-synthase (EC 2.5.1.48),25,0.68
group00816,None Provided,23,0.6521739130434783
group00817,Nickel-dependent superoxide dismutase (EC 1.15.1.1),26,1.0
group00818,Lipid A export ATP-binding/permease protein MsbA,6,1.0
group00819,LSU ribosomal protein L14p (L23e),12,1.0
group00820,LSU ribosomal protein L18p (L5e),14,1.0
group00821,Metallopeptidase,24,0.9166666666666666
group00822,Aldehyde dehydrogenase (EC 1.2.1.3),28,1.0
group00823,FIG001886: Cytoplasmic hypothetical protein,28,1.0
group00824,SSU ribosomal protein S5p (S2e),15,1.0
group00825,putative glycosyl transferase,29,0.4827586206896552
group00826,Kynureninase (EC 3.7.1.3),20,0.9
group00827,hypothetical protein,28,1.0
group00828,Ferredoxin,26,0.8461538461538461
group00829,2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60),16,0.3125
group00830,PaaD-like protein (DUF59) involved in Fe-S cluster assembly,25,1.0
group00831,Adenine phosphoribosyltransferase (EC 2.4.2.7),25,1.0
group00832,Potassium efflux system KefA protein / Small-conductance mechanosensitive channel,25,0.96
group00833,None Provided,16,0.6875
group00834,Quinolinate synthetase (EC 2.5.1.72),22,1.0
group00835,None Provided,24,0.8333333333333334
group00836,Enoyl-CoA hydratase (EC 4.2.1.17) / 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35) / 3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3),6,1.0
group00837,Acetylornithine aminotransferase (EC 2.6.1.11),18,1.0
group00838,Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1),18,0.9444444444444444
group00839,None Provided,22,0.5
group00840,None Provided,27,0.8148148148148148
group00841,Phosphoribosylaminoimidazole carboxylase catalytic subunit (EC 4.1.1.21),20,1.0
group00842,hypothetical protein,15,0.4
group00843,"ATPase, AAA family",5,0.8
group00844,LSU ribosomal protein L6p (L9e),13,1.0
group00845,"RidA/YER057c/UK114 superfamily, group 1",27,1.0
group00846,Uncharacterized protein SCO3165,26,0.6923076923076923
group00847,LSU ribosomal protein L22p (L17e),11,1.0
group00848,Glutamine synthetase family protein in hypothetical Actinobacterial gene cluster,16,1.0
group00849,FIG01121526: hypothetical protein,28,0.6785714285714286
group00850,None Provided,31,0.6774193548387096
group00851,None Provided,26,0.7692307692307693
group00852,None Provided,31,0.9032258064516129
group00853,LSU ribosomal protein L16p (L10e),12,1.0
group00854,Histidinol-phosphatase alternative form (EC 3.1.3.15),24,1.0
group00855,hypothetical protein,24,0.75
group00856,"FIG002813: LPPG:FO 2-phospho-L-lactate transferase like, CofD-like",29,1.0
group00857,diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s),32,0.84375
group00858,Diacylglycerol kinase-related protein,26,0.6923076923076923
group00859,Ribokinase (EC 2.7.1.15),22,0.9090909090909091
group00860,Acyl-CoA dehydrogenase (EC 1.3.8.7),6,0.6666666666666666
group00861,SSU ribosomal protein S19p (S15e),11,1.0
group00862,Hypothetical protein of L-Asparaginase type 2-like superfamily,19,1.0
group00863,hypothetical protein,26,0.5384615384615384
group00864,None Provided,19,0.6842105263157895
group00865,Exopolyphosphatase (EC 3.6.1.11),22,1.0
group00866,"Ferredoxin--NADP(+) reductase, actinobacterial (eukaryote-like) type (EC 1.18.1.2)",30,0.9666666666666667
group00867,DNA polymerase I (EC 2.7.7.7),29,1.0
group00868,"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)",12,0.4166666666666667
group00869,Deoxyguanosinetriphosphate triphosphohydrolase (EC 3.1.5.1),23,0.5217391304347826
group00870,None Provided,31,0.7419354838709677
group00871,hypothetical protein,27,0.9259259259259259
group00872,SSU ribosomal protein S17p (S11e),11,1.0
group00873,LSU ribosomal protein L29p (L35e),11,1.0
group00874,None Provided,24,0.875
group00875,"Uracil-DNA glycosylase, family 1",21,1.0
group00876,Xanthine/uracil/thiamine/ascorbate permease family protein,27,1.0
group00877,"3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12) / GTP cyclohydrolase II (EC 3.5.4.25)",14,1.0
group00878,None Provided,32,0.75
group00879,None Provided,24,0.6666666666666666
group00880,putative oxidoreductase,30,1.0
group00881,putative oxidoreductase,10,0.8
group00882,Dihydroorotate dehydrogenase electron transfer subunit (EC 1.3.3.1),31,0.9354838709677419
group00883,None Provided,27,0.8518518518518519
group00884,Predicted aminoglycoside phosphotransferase,5,1.0
group00885,LSU ribosomal protein L2p (L8e),10,1.0
group00886,Na+/H+ antiporter NhaA type,18,0.7777777777777778
group00887,FIG021764: Possible membrane protein,25,0.6
group00888,None Provided,18,0.6111111111111112
group00889,None Provided,29,0.8620689655172413
group00890,hypothetical protein,28,0.5357142857142857
group00891,hypothetical protein,29,0.7586206896551724
group00892,Orotidine 5-phosphate decarboxylase (EC 4.1.1.23),31,1.0
group00893,hypothetical protein,30,0.7333333333333333
group00894,"SSU ribosomal protein S14p (S29e) @ SSU ribosomal protein S14p (S29e), zinc-dependent",10,1.0
group00895,LSU ribosomal protein L24p (L26e),11,1.0
group00896,LSU ribosomal protein L5p (L11e),11,1.0
group00897,"Transcriptional regulator, IclR family",15,0.7333333333333333
group00898,None Provided,32,0.90625
group00899,None Provided,2,0.5
group00900,D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4),13,0.38461538461538464
group00901,Exoenzymes regulatory protein AepA in lipid-linked oligosaccharide synthesis cluster,9,0.4444444444444444
group00902,hypothetical protein,26,0.6538461538461539
group00903,"6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)",14,1.0
group00904,Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) / 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193),15,1.0
group00905,hypothetical protein,28,0.8214285714285714
group00906,hypothetical protein,16,0.5625
group00907,Enoyl-CoA hydratase (EC 4.2.1.17),5,1.0
group00908,putative DNA-binding protein,27,0.9629629629629629
group00909,None Provided,19,0.8947368421052632
group00910,hypothetical protein,27,0.7037037037037037
group00911,1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51),22,1.0
group00912,None Provided,22,0.6363636363636364
group00913,None Provided,30,0.9666666666666667
group00914,hypothetical protein,26,0.6923076923076923
group00915,None Provided,29,0.6206896551724138
group00916,SSU ribosomal protein S8p (S15Ae),11,1.0
group00917,COG0488: ATPase components of ABC transporters with duplicated ATPase domains,18,0.7222222222222222
group00918,Gamma-aminobutyrate:alpha-ketoglutarate aminotransferase (EC 2.6.1.19),2,1.0
group00919,LSU ribosomal protein L23p (L23Ae),10,1.0
group00920,LSU ribosomal protein L4p (L1e),10,1.0
group00921,LSU ribosomal protein L3p (L3e),11,1.0
group00922,putative secreted protein,14,0.7857142857142857
group00923,hypothetical protein,26,1.0
group00924,Phosphoenolpyruvate carboxylase (EC 4.1.1.31),28,1.0
group00925,NAD(P)HX epimerase / NAD(P)HX dehydratase,13,1.0
group00926,"Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)",14,1.0
group00927,Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6),12,1.0
group00928,Arabinose operon protein AraL,3,1.0
group00929,None Provided,27,0.5185185185185185
group00930,None Provided,24,0.5
group00931,Spheroidene monooxygenase (EC 1.14.15.9),27,0.7037037037037037
group00932,"Cell division transporter, ATP-binding protein FtsE (TC 3.A.5.1.1)",5,1.0
group00933,"amino acid ABC transporter, periplasmic amino acid-binding protein",12,0.9166666666666666
group00934,"Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4) / Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)",13,0.38461538461538464
group00935,None Provided,15,0.6666666666666666
group00936,None Provided,16,0.8125
group00937,tRNA (guanine46-N7-)-methyltransferase (EC 2.1.1.33),27,0.9259259259259259
group00938,Polyphosphate glucokinase (EC 2.7.1.63),17,1.0
group00939,None Provided,25,0.48
group00940,None Provided,20,0.7
group00941,None Provided,19,0.7894736842105263
group00942,DUF1794,22,0.5
group00943,carbon monoxide dehydrogenase D protein,3,1.0
group00944,SSU ribosomal protein S7p (S5e),14,1.0
group00945,SSU ribosomal protein S12p (S23e),14,1.0
group00946,hypothetical protein,31,0.5161290322580645
group00947,hypothetical protein,25,0.76
group00948,None Provided,22,0.6363636363636364
group00949,"Fructose-1,6-bisphosphatase, GlpX type (EC 3.1.3.11)",10,1.0
group00950,"Cystathionine beta-lyase, type II (EC 4.4.1.8)",27,0.48148148148148145
group00951,None Provided,26,0.7692307692307693
group00952,None Provided,23,0.6086956521739131
group00953,"Pyruvate,phosphate dikinase (EC 2.7.9.1)",14,1.0
group00954,None Provided,31,0.5483870967741935
group00955,None Provided,25,0.96
group00956,Formyltetrahydrofolate deformylase (EC 3.5.1.10),16,1.0
group00957,Histidine ammonia-lyase (EC 4.3.1.3),12,1.0
group00958,N-acylamino acid racemase,13,0.8461538461538461
group00959,putative secreted protein,21,1.0
group00960,FIG006762: Phosphoglycerate mutase family,23,0.9565217391304348
group00961,hypothetical protein,29,0.6551724137931034
group00962,Ferrous iron transport permease EfeU,17,0.9411764705882353
group00963,"Probable acyl-ACP desaturase, Stearoyl-ACP desaturase (EC 1.14.19.2)",18,0.8888888888888888
group00964,Alcohol dehydrogenase (EC 1.1.1.1),24,0.875
group00965,Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31),22,1.0
group00966,None Provided,30,0.5333333333333333
group00967,Amidophosphoribosyltransferase (EC 2.4.2.14),14,1.0
group00968,hypothetical protein,21,0.7142857142857143
group00969,"CblZ, a non-orthologous displasment for Alpha-ribazole-5-phosphate phosphatase",23,0.8260869565217391
group00970,"Ferric iron ABC transporter, ATP-binding protein",10,0.8
group00971,"Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)",13,1.0
group00972,Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9),14,1.0
group00973,None Provided,29,0.8620689655172413
group00974,Aldehyde dehydrogenase in hypothetical Actinobacterial gene cluster,17,1.0
group00975,None Provided,10,0.5
group00976,"transcriptional regulator, XRE family",24,0.4166666666666667
group00977,hypothetical protein,29,0.8620689655172413
group00978,None Provided,28,0.9285714285714286
group00979,hypothetical protein,27,0.5555555555555556
group00980,short-chain dehydrogenase/reductase SDR,12,0.4166666666666667
group00981,Galactokinase (EC 2.7.1.6),16,1.0
group00982,hypothetical protein,29,0.7241379310344828
group00983,D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4),29,0.9655172413793104
group00984,High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1),21,1.0
group00985,None Provided,26,0.7307692307692307
group00986,None Provided,22,0.5
group00987,Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7),18,1.0
group00988,None Provided,9,0.4444444444444444
group00989,Iron-sulfur cluster regulator SufR,25,0.96
group00990,hypothetical protein,21,1.0
group00991,SSU ribosomal protein S10p (S20e),11,1.0
group00992,UPF0246 protein YaaA,21,0.9523809523809523
group00993,None Provided,2,1.0
group00994,Threonine dehydratase (EC 4.3.1.19),1,1.0
group00995,None Provided,28,0.6428571428571429
group00996,Myo-inositol 2-dehydrogenase (EC 1.1.1.18),25,0.56
group00997,Chromosome segregation ATPases,25,0.92
group00998,None Provided,28,0.5714285714285714
group00999,None Provided,26,0.9230769230769231
group01000,None Provided,23,0.6521739130434783
group01001,hypothetical protein,28,0.5357142857142857
group01002,None Provided,11,0.5454545454545454
group01003,DNA-3-methyladenine glycosylase II (EC 3.2.2.21),21,0.6666666666666666
group01004,None Provided,28,0.5357142857142857
group01005,None Provided,20,0.6
group01006,Acyl-CoA dehydrogenase (EC 1.3.8.7),19,0.7368421052631579
group01007,None Provided,27,0.9259259259259259
group01008,"(2E,6Z)-farnesyl diphosphate synthase (EC 2.5.1.68)",18,1.0
group01009,"Branched-chain amino acid ABC transporter, amino acid-binding protein (TC 3.A.1.4.1)",18,0.7777777777777778
group01010,"Uracil-DNA glycosylase, family 5",18,0.9444444444444444
group01011,ATP-dependent DNA helicase SCO5183,21,1.0
group01012,hypothetical protein,21,0.47619047619047616
group01013,"Possible mutator protein MutT3 (7,8-dihydro-8-oxoguanine-triphosphatase)",18,0.7777777777777778
group01014,None Provided,26,0.6538461538461539
group01015,None Provided,23,0.6086956521739131
group01016,major facilitator superfamily MFS_1,13,0.7692307692307693
group01017,hypothetical protein,28,0.8928571428571429
group01018,None Provided,24,0.7916666666666666
group01019,"Phosphoribosylformylglycinamidine synthase, PurS subunit (EC 6.3.5.3)",12,1.0
group01020,Cysteinyl-tRNA synthetase (EC 6.1.1.16),26,1.0
group01021,None Provided,27,0.8888888888888888
group01022,hypothetical protein,21,0.6190476190476191
group01023,Beta-glucosidase (EC 3.2.1.21),14,1.0
group01024,None Provided,28,0.5
group01025,FIG00819990: hypothetical protein,23,0.782608695652174
group01026,"Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)",20,1.0
group01027,hypothetical protein,26,0.7692307692307693
group01028,None Provided,27,0.8888888888888888
group01029,None Provided,26,0.7307692307692307
group01030,None Provided,24,0.875
group01031,"Succinyl-CoA synthetase, alpha subunit-related enzymes",25,0.52
group01032,None Provided,20,0.75
group01033,Amino acid/metabolite permease in hypothetical Actinobacterial gene cluster; BAT1-like,15,1.0
group01034,None Provided,24,0.75
group01035,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3),2,1.0
group01036,None Provided,25,1.0
group01037,None Provided,26,0.5
group01038,None Provided,26,0.6923076923076923
group01039,None Provided,8,0.625
group01040,Phosphoenolpyruvate carboxykinase GTP (EC 4.1.1.32),3,1.0
group01041,FIG038648: MoaD and/or ThiS families,8,0.75
group01042,None Provided,23,0.5217391304347826
group01043,GDP-L-fucose synthetase (EC 1.1.1.271),10,0.8
group01044,"Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)",3,0.6666666666666666
group01045,Glutamate N-acetyltransferase (EC 2.3.1.35) / N-acetylglutamate synthase (EC 2.3.1.1),10,0.9
group01046,None Provided,24,0.75
group01047,None Provided,21,0.9523809523809523
group01048,None Provided,25,0.84
group01049,hypothetical protein,19,0.631578947368421
group01050,Acyl-CoA thioesterase II (EC 3.1.2.-),1,1.0
group01051,"Vitamin B12 ABC transporter, permease component BtuC",12,0.75
group01052,Mannose-1-phosphate guanylyltransferase (GDP) (EC 2.7.7.22),19,1.0
group01053,Fructose-bisphosphate aldolase class II (EC 4.1.2.13),19,1.0
group01054,UDP-glucose 6-dehydrogenase (EC 1.1.1.22),22,0.5909090909090909
group01055,hypothetical protein,27,0.5555555555555556
group01056,None Provided,23,0.6086956521739131
group01057,None Provided,14,1.0
group01058,Xylulose kinase (EC 2.7.1.17),20,1.0
group01059,None Provided,27,0.8518518518518519
group01060,2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45),20,0.75
group01061,"Vitamin B12 ABC transporter, B12-binding component BtuF",13,0.6153846153846154
group01062,Protein-PII uridylyltransferase (EC 2.7.7.59),14,1.0
group01063,None Provided,27,0.7407407407407407
group01064,Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1),13,1.0
group01065,None Provided,11,0.8181818181818182
group01066,None Provided,23,0.8695652173913043
group01067,None Provided,15,0.6
group01068,None Provided,9,0.8888888888888888
group01069,Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24),5,1.0
group01070,putative integral membrane protein,9,0.6666666666666666
group01071,None Provided,18,1.0
group01072,None Provided,22,0.6363636363636364
group01073,None Provided,19,0.5263157894736842
group01074,None Provided,22,0.8636363636363636
group01075,Short chain dehydrogenase family protein,23,0.7391304347826086
group01076,Molybdenum cofactor biosynthesis protein MoaE,13,0.9230769230769231
group01077,Methylmalonyl-CoA mutase (EC 5.4.99.2),2,1.0
group01078,"Zinc ABC transporter, inner membrane permease protein ZnuB",1,1.0
group01079,RecB family exonuclease,8,1.0
group01080,None Provided,22,1.0
group01081,MaoC family protein,16,0.9375
group01082,"Indigoidine synthase A-like protein, uncharacterized enzyme involved in pigment biosynthesis",16,1.0
group01083,hypothetical protein,25,0.48
group01084,DedA protein,23,0.8260869565217391
group01085,None Provided,17,0.8235294117647058
group01086,None Provided,26,0.8076923076923077
group01087,Dienelactone hydrolase family,6,0.8333333333333334
group01088,"LSU ribosomal protein L36p @ LSU ribosomal protein L36p, zinc-dependent",14,1.0
group01089,MG(2+) CHELATASE FAMILY PROTEIN / ComM-related protein,12,1.0
group01090,putative Adenosine kinase (EC 2.7.1.20),21,1.0
group01091,"Tryptophan 2,3-dioxygenase (EC 1.13.11.11)",17,0.8823529411764706
group01092,hypothetical protein,25,0.56
group01093,None Provided,22,0.36363636363636365
group01094,None Provided,4,0.75
group01095,None Provided,14,0.5714285714285714
group01096,NAD-specific glutamate dehydrogenase (EC 1.4.1.2); NADP-specific glutamate dehydrogenase (EC 1.4.1.4),16,1.0
group01097,Methyltransferase (EC 2.1.1.-),22,0.5454545454545454
group01098,putative cytochrome P450 hydroxylase,6,1.0
group01099,Sarcosine dehydrogenase (EC 1.5.99.1),15,0.6666666666666666
group01100,"internalin, putative",2,0.5
group01101,S-adenosylhomocysteine deaminase (EC 3.5.4.28); Methylthioadenosine deaminase,5,1.0
group01102,None Provided,18,0.6666666666666666
group01103,None Provided,6,0.5
group01104,"Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)",1,1.0
group01105,Alkaline serine exoprotease A precursor (EC 3.4.21.-),5,0.6
group01106,None Provided,20,0.9
group01107,hypothetical protein,23,0.8695652173913043
group01108,Alpha-glucoside transport system permease protein AglG,22,0.5
group01109,None Provided,23,0.8260869565217391
group01110,None Provided,18,0.7222222222222222
group01111,None Provided,22,0.5909090909090909
group01112,Manganese transport protein MntH,13,1.0
group01113,None Provided,16,1.0
group01114,None Provided,12,0.5
group01115,Amino acid permease,7,1.0
group01116,Molybdenum cofactor biosynthesis protein MoaB,12,0.6666666666666666
group01117,Cyclic pyranopterin monophosphate synthase (EC 4.1.99.18),13,1.0
group01118,Lysine decarboxylase family,21,0.5714285714285714
group01119,None Provided,24,0.8333333333333334
group01120,hypothetical protein,19,0.6842105263157895
group01121,hypothetical protein,17,0.9411764705882353
group01122,None Provided,18,0.6111111111111112
group01123,hypothetical protein,23,0.6956521739130435
group01124,"Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)",20,0.65
group01125,hypothetical protein,18,0.8333333333333334
group01126,None Provided,18,0.6111111111111112
group01127,None Provided,1,1.0
group01128,Carbon monoxide dehydrogenase small chain (EC 1.2.99.2),2,1.0
group01129,hypothetical protein,3,0.6666666666666666
group01130,TPR-repeat-containing protein,11,0.8181818181818182
group01131,None Provided,10,0.4
group01132,None Provided,18,0.6666666666666666
group01133,None Provided,18,0.3888888888888889
group01134,None Provided,9,0.7777777777777778
group01135,None Provided,14,0.6428571428571429
group01136,Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-),24,1.0
group01137,None Provided,16,0.4375
group01138,Fructokinase (EC 2.7.1.4),19,1.0
group01139,hypothetical protein,21,0.6666666666666666
group01140,None Provided,22,0.7727272727272727
group01141,None Provided,16,1.0
group01142,Membrane proteins related to metalloendopeptidases,19,1.0
group01143,Glycosyltransferase,17,0.4117647058823529
group01144,Cysteine desulfurase (EC 2.8.1.7),21,0.38095238095238093
group01145,Molybdopterin biosynthesis protein MoeA,14,1.0
group01146,Zinc uptake regulation protein ZUR,9,1.0
group01147,None Provided,24,0.875
group01148,None Provided,24,0.7083333333333334
group01149,hypothetical protein,20,0.55
group01150,2-hydroxychromene-2-carboxylate isomerase/DsbA-like thioredoxin domain,6,1.0
group01151,B12 binding domain of Methylmalonyl-CoA mutase (EC 5.4.99.2),2,1.0
group01152,None Provided,3,0.3333333333333333
group01153,None Provided,3,0.3333333333333333
group01154,None Provided,7,0.42857142857142855
group01155,Coenzyme F420-0:L-glutamate ligase (EC 6.3.2.31) @ F420-1:L-glutamate ligase (EC 6.3.2.34) / Nitroreductase family protein Rcas_3978,1,1.0
group01156,"Lactyl (2) diphospho-(5)guanosine:7,8-didemethyl-8-hydroxy-5-deazariboflavin 2-phospho-L-lactate transferase",1,1.0
group01157,luciferase family protein,1,1.0
group01158,None Provided,12,0.75
group01159,None Provided,14,0.5714285714285714
group01160,Porphobilinogen deaminase (EC 2.5.1.61),2,1.0
group01161,None Provided,20,0.6
group01162,None Provided,21,0.7142857142857143
group01163,None Provided,19,0.7894736842105263
group01164,None Provided,22,0.6363636363636364
group01165,hypothetical protein,21,0.5714285714285714
group01166,putative cholesterol oxidase,19,0.8421052631578947
group01167,Molybdenum cofactor biosynthesis protein MoaC,13,1.0
group01168,None Provided,22,0.6363636363636364
group01169,FIG059443: hypothetical protein,23,0.9565217391304348
group01170,dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133),4,1.0
group01171,"Carbon monoxide dehydrogenase form I, large chain (EC 1.2.99.2)",3,1.0
group01172,Fumarate hydratase class II (EC 4.2.1.2),2,1.0
group01173,"Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)",6,0.6666666666666666
group01174,hypothetical protein,14,0.5
group01175,Arsenical resistance operon repressor,4,1.0
group01176,hypothetical protein,11,0.7272727272727273
group01177,Uroporphyrinogen III decarboxylase (EC 4.1.1.37),1,1.0
group01178,Glutamyl-tRNA reductase (EC 1.2.1.70),2,1.0
group01179,None Provided,2,1.0
group01180,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3),3,0.6666666666666666
group01181,ABC transporter related,17,1.0
group01182,Urocanate hydratase (EC 4.2.1.49),10,1.0
group01183,Serine acetyltransferase (EC 2.3.1.30),15,1.0
group01184,Phage tail fiber protein,21,0.5714285714285714
group01185,Beta-galactosidase (EC 3.2.1.23),14,1.0
group01186,Alpha-galactosidase (EC 3.2.1.22),14,0.9285714285714286
group01187,None Provided,22,0.5909090909090909
group01188,None Provided,14,0.35714285714285715
group01189,"Xylose ABC transporter, periplasmic xylose-binding protein XylF",19,0.6842105263157895
group01190,Repressor CsoR of the copZA operon,4,0.75
group01191,Porphobilinogen synthase (EC 4.2.1.24),2,1.0
group01192,Molybdenum transport system permease protein ModB (TC 3.A.1.8.1),8,1.0
group01193,hypothetical protein,22,0.5454545454545454
group01194,None Provided,13,0.8461538461538461
group01195,None Provided,15,0.7333333333333333
group01196,"Deacetylases, including yeast histone deacetylase and acetoin utilization protein",3,1.0
group01197,Aldehyde dehydrogenase (EC 1.2.1.3),1,1.0
group01198,Putative amidotransferase similar to cobyric acid synthase,8,1.0
group01199,"Ferric iron ABC transporter, permease protein",10,1.0
group01200,Gluconolactonase (EC 3.1.1.17),16,0.5
group01201,None Provided,17,0.47058823529411764
group01202,Formiminoglutamase (EC 3.5.3.8),11,1.0
group01203,predicted protein,5,1.0
group01204,None Provided,16,0.5
group01205,None Provided,19,0.5789473684210527
group01206,None Provided,5,0.8
group01207,Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1),7,1.0
group01208,"Xylose ABC transporter, permease protein XylH",18,0.7777777777777778
group01209,Xylose isomerase (EC 5.3.1.5),17,1.0
group01210,"N-Acetyl-D-glucosamine ABC transport system, permease protein 1",18,0.4444444444444444
group01211,hypothetical protein,21,0.7142857142857143
group01212,None Provided,20,0.65
group01213,None Provided,21,0.7619047619047619
group01214,Imidazolonepropionase (EC 3.5.2.7),10,1.0
group01215,hypothetical protein,19,0.631578947368421
group01216,NADPH-dependent F420 reductase,1,1.0
group01217,Exodeoxyribonuclease VII small subunit (EC 3.1.11.6),12,1.0
group01218,Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4),4,1.0
group01219,Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4),3,0.6666666666666666
group01220,proposed amino acid ligase found clustered with an amidotransferase,8,0.375
group01221,ATPase component NikO of energizing module of nickel ECF transporter,14,1.0
group01222,Dipeptidyl carboxypeptidase Dcp (EC 3.4.15.5),17,1.0
group01223,hypothetical protein,19,0.5789473684210527
group01224,None Provided,2,1.0
group01225,"Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)",8,0.875
group01226,None Provided,6,0.8333333333333334
group01227,hypothetical protein,9,0.7777777777777778
group01228,Putative transcriptional regulator,2,0.5
group01229,"Zinc ABC transporter, periplasmic-binding protein ZnuA",2,1.0
group01230,hypothetical protein,20,0.6
group01231,hypothetical protein,15,0.5333333333333333
group01232,"Transcriptional regulator, MarR family",7,1.0
group01233,"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)",11,1.0
group01234,putative integral membrane transport protein,18,1.0
group01235,"Ferric iron ABC transporter, iron-binding protein",9,1.0
group01236,None Provided,9,0.8888888888888888
group01237,"amino acid ABC transporter, permease protein (glnP)",7,0.42857142857142855
group01238,None Provided,19,1.0
group01239,hypothetical protein,2,1.0
group01240,hypothetical protein,12,0.8333333333333334
group01241,Pyridoxamine 5-phosphate oxidase (EC 1.4.3.5),6,0.8333333333333334
group01242,None Provided,1,1.0
group01243,Mec+,8,1.0
group01244,ABC-2 type transporter,15,1.0
group01245,L-arabonate dehydratase (EC 4.2.1.25),18,0.8888888888888888
group01246,Uncharacterized ABC1 family protein SCO5192,7,1.0
group01247,None Provided,19,1.0
group01248,None Provided,14,0.42857142857142855
group01249,Sulfate permease,9,1.0
group01250,probable sulfite oxidase,4,1.0
group01251,None Provided,17,1.0
group01252,None Provided,13,0.5384615384615384
group01253,Cyclopropane-fatty-acyl-phospholipid synthase (EC 2.1.1.79),10,1.0
group01254,Mlr1763 protein,9,0.8888888888888888
group01255,Aldo-keto reductase,7,1.0
group01256,None Provided,18,0.6666666666666666
group01257,UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9),2,1.0
group01258,None Provided,18,0.8888888888888888
group01259,None Provided,1,1.0
group01260,putative oxidoreductase,10,0.4
group01261,HoxN/HupN/NixA family nickel/cobalt transporter,13,1.0
group01262,None Provided,11,0.7272727272727273
group01263,hypothetical protein,19,0.631578947368421
group01264,Thioredoxin,4,1.0
group01265,"dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)",3,1.0
group01266,Ferredoxin reductase,2,1.0
group01267,None Provided,3,1.0
group01268,None Provided,2,1.0
group01269,Fructose-bisphosphate aldolase class I (EC 4.1.2.13),8,1.0
group01270,4-hydroxybutyrate coenzyme A transferase,7,1.0
group01271,None Provided,18,0.9444444444444444
group01272,Glycerate kinase (EC 2.7.1.31),3,1.0
group01273,putative periplasmic protein kinase ArgK and related GTPases of G3E family,2,1.0
group01274,Putative cytoplasmic protein,10,1.0
group01275,None Provided,5,0.8
group01276,None Provided,8,0.375
group01277,Substrate-specific component NikM of nickel ECF transporter,13,1.0
