,Annotation
group00934,"Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4) / Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)"
group00935,None Provided
group00936,None Provided
group00937,tRNA (guanine46-N7-)-methyltransferase (EC 2.1.1.33)
group00938,Polyphosphate glucokinase (EC 2.7.1.63)
group00939,None Provided
group00940,None Provided
group00941,None Provided
group00942,DUF1794
group00943,carbon monoxide dehydrogenase D protein
group00944,SSU ribosomal protein S7p (S5e)
group00945,SSU ribosomal protein S12p (S23e)
group00946,hypothetical protein
group00947,hypothetical protein
group00948,None Provided
group00949,"Fructose-1,6-bisphosphatase, GlpX type (EC 3.1.3.11)"
group00950,"Cystathionine beta-lyase, type II (EC 4.4.1.8)"
group00951,None Provided
group00952,None Provided
group00953,"Pyruvate,phosphate dikinase (EC 2.7.9.1)"
group00954,None Provided
group00955,None Provided
group00956,Formyltetrahydrofolate deformylase (EC 3.5.1.10)
group00957,Histidine ammonia-lyase (EC 4.3.1.3)
group00958,N-acylamino acid racemase
group00959,putative secreted protein
group00960,FIG006762: Phosphoglycerate mutase family
group00961,hypothetical protein
group00962,Ferrous iron transport permease EfeU
group00963,"Probable acyl-ACP desaturase, Stearoyl-ACP desaturase (EC 1.14.19.2)"
group00964,Alcohol dehydrogenase (EC 1.1.1.1)
group00965,Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)
group00966,None Provided
group00967,Amidophosphoribosyltransferase (EC 2.4.2.14)
group00968,hypothetical protein
group00969,"CblZ, a non-orthologous displasment for Alpha-ribazole-5-phosphate phosphatase"
group00970,"Ferric iron ABC transporter, ATP-binding protein"
group00971,"Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)"
group00972,Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)
group00973,None Provided
group00974,Aldehyde dehydrogenase in hypothetical Actinobacterial gene cluster
group00975,None Provided
group00976,"transcriptional regulator, XRE family"
group00977,hypothetical protein
group00978,None Provided
group00979,hypothetical protein
group00980,short-chain dehydrogenase/reductase SDR
group00981,Galactokinase (EC 2.7.1.6)
group00982,hypothetical protein
group00983,D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)
group00984,High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1)
group00985,None Provided
group00986,None Provided
group00987,Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)
group00988,None Provided
group00989,Iron-sulfur cluster regulator SufR
group00990,hypothetical protein
group00991,SSU ribosomal protein S10p (S20e)
group00992,UPF0246 protein YaaA
group00993,None Provided
group00994,Threonine dehydratase (EC 4.3.1.19)
group00995,None Provided
group00996,Myo-inositol 2-dehydrogenase (EC 1.1.1.18)
group00997,Chromosome segregation ATPases
group00998,None Provided
group00999,None Provided
group01000,None Provided
group01001,hypothetical protein
group01002,None Provided
group01003,DNA-3-methyladenine glycosylase II (EC 3.2.2.21)
group01004,None Provided
group01005,None Provided
group01006,Acyl-CoA dehydrogenase (EC 1.3.8.7)
group01007,None Provided
group01008,"(2E,6Z)-farnesyl diphosphate synthase (EC 2.5.1.68)"
group01009,"Branched-chain amino acid ABC transporter, amino acid-binding protein (TC 3.A.1.4.1)"
group01010,"Uracil-DNA glycosylase, family 5"
group01011,ATP-dependent DNA helicase SCO5183
group01012,hypothetical protein
group01013,"Possible mutator protein MutT3 (7,8-dihydro-8-oxoguanine-triphosphatase)"
group01014,None Provided
group01015,None Provided
group01016,major facilitator superfamily MFS_1
group01017,hypothetical protein
group01018,None Provided
group01019,"Phosphoribosylformylglycinamidine synthase, PurS subunit (EC 6.3.5.3)"
group01020,Cysteinyl-tRNA synthetase (EC 6.1.1.16)
group01021,None Provided
group01022,hypothetical protein
group01023,Beta-glucosidase (EC 3.2.1.21)
group01024,None Provided
group01025,FIG00819990: hypothetical protein
group01026,"Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)"
group01027,hypothetical protein
group01028,None Provided
group01029,None Provided
group01030,None Provided
group01031,"Succinyl-CoA synthetase, alpha subunit-related enzymes"
group01032,None Provided
group01033,Amino acid/metabolite permease in hypothetical Actinobacterial gene cluster; BAT1-like
group01034,None Provided
group01035,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)
group01036,None Provided
group01037,None Provided
group01038,None Provided
group01039,None Provided
group01040,Phosphoenolpyruvate carboxykinase GTP (EC 4.1.1.32)
group01041,FIG038648: MoaD and/or ThiS families
group01042,None Provided
group01043,GDP-L-fucose synthetase (EC 1.1.1.271)
group01044,"Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)"
group01045,Glutamate N-acetyltransferase (EC 2.3.1.35) / N-acetylglutamate synthase (EC 2.3.1.1)
group01046,None Provided
group01047,None Provided
group01048,None Provided
group01049,hypothetical protein
group01050,Acyl-CoA thioesterase II (EC 3.1.2.-)
group01051,"Vitamin B12 ABC transporter, permease component BtuC"
group01052,Mannose-1-phosphate guanylyltransferase (GDP) (EC 2.7.7.22)
group01053,Fructose-bisphosphate aldolase class II (EC 4.1.2.13)
group01054,UDP-glucose 6-dehydrogenase (EC 1.1.1.22)
group01055,hypothetical protein
group01056,None Provided
group01057,None Provided
group01058,Xylulose kinase (EC 2.7.1.17)
group01059,None Provided
group01060,2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)
group01061,"Vitamin B12 ABC transporter, B12-binding component BtuF"
group01062,Protein-PII uridylyltransferase (EC 2.7.7.59)
group01063,None Provided
group01064,Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)
group01065,None Provided
group01066,None Provided
group01067,None Provided
group01068,None Provided
group01069,Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)
group01070,putative integral membrane protein
group01071,None Provided
group01072,None Provided
group01073,None Provided
group01074,None Provided
group01075,Short chain dehydrogenase family protein
group01076,Molybdenum cofactor biosynthesis protein MoaE
group01077,Methylmalonyl-CoA mutase (EC 5.4.99.2)
group01078,"Zinc ABC transporter, inner membrane permease protein ZnuB"
group01079,RecB family exonuclease
group01080,None Provided
group01081,MaoC family protein
group01082,"Indigoidine synthase A-like protein, uncharacterized enzyme involved in pigment biosynthesis"
group01083,hypothetical protein
group01084,DedA protein
group01085,None Provided
group01086,None Provided
group01087,Dienelactone hydrolase family
group01088,"LSU ribosomal protein L36p @ LSU ribosomal protein L36p, zinc-dependent"
group01089,MG(2+) CHELATASE FAMILY PROTEIN / ComM-related protein
group01090,putative Adenosine kinase (EC 2.7.1.20)
group01091,"Tryptophan 2,3-dioxygenase (EC 1.13.11.11)"
group01092,hypothetical protein
group01093,None Provided
group01094,None Provided
group01095,None Provided
group01096,NAD-specific glutamate dehydrogenase (EC 1.4.1.2); NADP-specific glutamate dehydrogenase (EC 1.4.1.4)
group01097,Methyltransferase (EC 2.1.1.-)
group01098,putative cytochrome P450 hydroxylase
group01099,Sarcosine dehydrogenase (EC 1.5.99.1)
group01100,"internalin, putative"
group01101,S-adenosylhomocysteine deaminase (EC 3.5.4.28); Methylthioadenosine deaminase
group01102,None Provided
group01103,Bona fide RidA/YjgF/TdcF/RutC subgroup
group01104,"Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)"
group01105,Alkaline serine exoprotease A precursor (EC 3.4.21.-)
group01106,None Provided
group01107,hypothetical protein
group01108,Alpha-glucoside transport system permease protein AglG
group01109,None Provided
group01110,None Provided
group01111,None Provided
group01112,Manganese transport protein MntH
group01113,None Provided
group01114,None Provided
group01115,Amino acid permease
group01116,Molybdenum cofactor biosynthesis protein MoaB
group01117,Cyclic pyranopterin monophosphate synthase (EC 4.1.99.18)
group01118,Lysine decarboxylase family
group01119,None Provided
group01120,hypothetical protein
group01121,hypothetical protein
group01122,None Provided
group01123,hypothetical protein
group01124,"Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)"
group01125,hypothetical protein
group01126,None Provided
group01127,None Provided
group01128,Carbon monoxide dehydrogenase small chain (EC 1.2.99.2)
group01129,hypothetical protein
group01130,TPR-repeat-containing protein
group01131,None Provided
group01132,None Provided
group01133,None Provided
group01134,None Provided
group01135,None Provided
group01136,Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-)
group01137,"Thiosulfate sulfurtransferase, rhodanese (EC 2.8.1.1)"
group01138,Fructokinase (EC 2.7.1.4)
group01139,hypothetical protein
group01140,None Provided
group01141,None Provided
group01142,Membrane proteins related to metalloendopeptidases
group01143,Glycosyltransferase
group01144,Cysteine desulfurase (EC 2.8.1.7)
group01145,Molybdopterin biosynthesis protein MoeA
group01146,Zinc uptake regulation protein ZUR
group01147,None Provided
group01148,None Provided
group01149,hypothetical protein
group01150,2-hydroxychromene-2-carboxylate isomerase/DsbA-like thioredoxin domain
group01151,B12 binding domain of Methylmalonyl-CoA mutase (EC 5.4.99.2)
group01152,None Provided
group01153,None Provided
group01154,None Provided
group01155,Coenzyme F420-0:L-glutamate ligase (EC 6.3.2.31) @ F420-1:L-glutamate ligase (EC 6.3.2.34) / Nitroreductase family protein Rcas_3978
group01156,"Lactyl (2) diphospho-(5)guanosine:7,8-didemethyl-8-hydroxy-5-deazariboflavin 2-phospho-L-lactate transferase"
group01157,luciferase family protein
group01158,None Provided
group01159,None Provided
group01160,Porphobilinogen deaminase (EC 2.5.1.61)
group01161,None Provided
group01162,None Provided
group01163,None Provided
group01164,None Provided
group01165,hypothetical protein
group01166,putative cholesterol oxidase
group01167,Molybdenum cofactor biosynthesis protein MoaC
group01168,None Provided
group01169,FIG059443: hypothetical protein
group01170,dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)
group01171,"Carbon monoxide dehydrogenase form I, large chain (EC 1.2.99.2)"
group01172,Fumarate hydratase class II (EC 4.2.1.2)
group01173,"Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)"
group01174,hypothetical protein
group01175,Arsenical resistance operon repressor
group01176,hypothetical protein
group01177,Uroporphyrinogen III decarboxylase (EC 4.1.1.37)
group01178,Glutamyl-tRNA reductase (EC 1.2.1.70)
group01179,None Provided
group01180,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)
group01181,ABC transporter related
group01182,Urocanate hydratase (EC 4.2.1.49)
group01183,Serine acetyltransferase (EC 2.3.1.30)
group01184,Phage tail fiber protein
group01185,Beta-galactosidase (EC 3.2.1.23)
group01186,Alpha-galactosidase (EC 3.2.1.22)
group01187,None Provided
group01188,None Provided
group01189,"Xylose ABC transporter, periplasmic xylose-binding protein XylF"
group01190,Repressor CsoR of the copZA operon
group01191,Porphobilinogen synthase (EC 4.2.1.24)
group01192,Molybdenum transport system permease protein ModB (TC 3.A.1.8.1)
group01193,hypothetical protein
group01194,None Provided
group01195,None Provided
group01196,"Deacetylases, including yeast histone deacetylase and acetoin utilization protein"
group01197,Aldehyde dehydrogenase (EC 1.2.1.3)
group01198,Putative amidotransferase similar to cobyric acid synthase
group01199,"Ferric iron ABC transporter, permease protein"
group01200,Gluconolactonase (EC 3.1.1.17)
group01201,None Provided
group01202,Formiminoglutamase (EC 3.5.3.8)
group01203,predicted protein
group01204,None Provided
group01205,None Provided
group01206,None Provided
group01207,Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)
group01208,"Xylose ABC transporter, permease protein XylH"
group01209,Xylose isomerase (EC 5.3.1.5)
group01210,"N-Acetyl-D-glucosamine ABC transport system, permease protein 1"
group01211,hypothetical protein
group01212,None Provided
group01213,None Provided
group01214,Imidazolonepropionase (EC 3.5.2.7)
group01215,hypothetical protein
group01216,NADPH-dependent F420 reductase
group01217,Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)
group01218,Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4)
group01219,Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4)
group01220,proposed amino acid ligase found clustered with an amidotransferase
group01221,ATPase component NikO of energizing module of nickel ECF transporter
group01222,Dipeptidyl carboxypeptidase Dcp (EC 3.4.15.5)
group01223,hypothetical protein
group01224,None Provided
group01225,"Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)"
group01226,None Provided
group01227,hypothetical protein
group01228,"Aldehyde dehydrogenase (EC 1.2.1.3), PaaZ"
group01229,"Zinc ABC transporter, periplasmic-binding protein ZnuA"
group01230,hypothetical protein
group01231,hypothetical protein
group01232,"Transcriptional regulator, MarR family"
group01233,"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"
group01234,putative integral membrane transport protein
group01235,"Ferric iron ABC transporter, iron-binding protein"
group01236,None Provided
group01237,"amino acid ABC transporter, permease protein (glnP)"
group01238,None Provided
group01239,hypothetical protein
group01240,hypothetical protein
group01241,Pyridoxamine 5-phosphate oxidase (EC 1.4.3.5)
group01242,None Provided
group01243,Mec+
group01244,ABC-2 type transporter
group01245,L-arabonate dehydratase (EC 4.2.1.25)
group01246,Uncharacterized ABC1 family protein SCO5192
group01247,None Provided
group01248,None Provided
group01249,Sulfate permease
group01250,probable sulfite oxidase
group01251,None Provided
group01252,None Provided
group01253,Cyclopropane-fatty-acyl-phospholipid synthase (EC 2.1.1.79)
group01254,Mlr1763 protein
group01255,Aldo-keto reductase
group01256,None Provided
group01257,UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)
group01258,None Provided
group01259,None Provided
group01260,putative oxidoreductase
group01261,HoxN/HupN/NixA family nickel/cobalt transporter
group01262,None Provided
group01263,hypothetical protein
group01264,Thioredoxin
group01265,"dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)"
group01266,Ferredoxin reductase
group01267,None Provided
group01268,None Provided
group01269,Fructose-bisphosphate aldolase class I (EC 4.1.2.13)
group01270,4-hydroxybutyrate coenzyme A transferase
group01271,None Provided
group01272,Glycerate kinase (EC 2.7.1.31)
group01273,putative periplasmic protein kinase ArgK and related GTPases of G3E family
group01274,Putative cytoplasmic protein
group01275,None Provided
group01276,None Provided
group01277,Substrate-specific component NikM of nickel ECF transporter
group01278,Transmembrane component NikQ of energizing module of nickel ECF transporter
group01279,None Provided
group01280,Glycerol kinase (EC 2.7.1.30)
group01281,None Provided
group01282,hypothetical protein
group01283,None Provided
group01284,None Provided
group01285,3-oxoacyl-acyl-carrier protein reductase (EC 1.1.1.100)
group01286,N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23) / Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)
group01287,"Oxidoreductase, NAD(P)-dependent, weak similarity to Myo-inositol 2-dehydrogenase"
group01288,Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)
group01289,None Provided
group01290,None Provided
group01291,Choline dehydrogenase (EC 1.1.99.1)
group01292,None Provided
group01293,None Provided
group01294,"Molybdenum ABC transporter, periplasmic molybdenum-binding protein ModA (TC 3.A.1.8.1)"
group01295,3-oxoacyl-acyl-carrier protein reductase (EC 1.1.1.100)
group01296,None Provided
group01297,hypothetical protein
group01298,"Acetyl-CoA synthetase (ADP-forming) alpha and beta chains, putative"
group01299,"Maltose/maltodextrin ABC transporter, substrate binding periplasmic protein MalE"
group01300,None Provided
group01301,Additional substrate-specific component NikN of nickel ECF transporter
group01302,None Provided
group01303,Myo-inositol 2-dehydrogenase (EC 1.1.1.18)
group01304,hypothetical protein
group01305,Mannose-6-phosphate isomerase (EC 5.3.1.8)
group01306,hypothetical protein
group01307,probable peptidoglycan binding protein
group01308,Gluconate dehydratase (EC 4.2.1.39)
group01309,None Provided
group01310,None Provided
group01311,None Provided
group01312,hypothetical protein
group01313,PROBABLE INTEGRAL MEMBRANE PROTEIN
group01314,Proline dehydrogenase (EC 1.5.99.8) (Proline oxidase) / Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.2.1.88)
group01315,Magnesium and cobalt transport protein CorA
group01316,Neopullulanase (EC 3.2.1.135) / Maltodextrin glucosidase (EC 3.2.1.20)
group01317,Myo-inositol 2-dehydrogenase (EC 1.1.1.18)
group01318,None Provided
group01319,"ABC alpha-glucoside transporter, inner membrane subunit AglF"
group01320,"Maltose/maltodextrin ABC transporter, permease protein MalG"
group01321,Duplicated ATPase component CbrU of energizing module of predicted cobalamin ECF transporter
group01322,None Provided
group01323,None Provided
group01324,Dolichol-phosphate mannosyltransferase (EC 2.4.1.83) in lipid-linked oligosaccharide synthesis cluster
group01325,"Ubiquinol--cytochrome c reductase, cytochrome B subunit (EC 1.10.2.2)"
group01326,2-keto-3-deoxy-L-fuconate dehydrogenase
group01327,hypothetical protein
group01328,N-acyl-L-amino acid amidohydrolase (EC 3.5.1.14)
group01329,hypothetical protein
group01330,Permease of the drug/metabolite transporter (DMT) superfamily
group01331,N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)
group01332,None Provided
group01333,"TldE/PmbA family protein, Actinobacterial subgroup"
group01334,Glycosyltransferase
group01335,Protein yceI precursor
group01336,Ketoglutarate semialdehyde dehydrogenase (EC 1.2.1.26)
group01337,None Provided
group01338,Putative membrane protein YeiH
group01339,"Predicted transcriptional regulator of N-Acetylglucosamine utilization, GntR family"
group01340,None Provided
group01341,"Aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific)"
group01342,hypothetical protein
group01343,Xanthine-guanine phosphoribosyltransferase (EC 2.4.2.22)
group01344,None Provided
group01345,"TldD family protein, Actinobacterial subgroup"
group01346,hypothetical protein
group01347,None Provided
group01348,None Provided
group01349,L-O-lysylphosphatidylglycerol synthase (EC 2.3.2.3) / Lysyl-tRNA synthetase (class II) (EC 6.1.1.6) fused to L-O-lysylphosphatidylglycerol synthetase
group01350,4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) @ 2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)
group01351,"extracellular solute-binding protein, family 1"
group01352,"Glycine betaine ABC transport system, ATP-binding protein OpuAA (EC 3.6.3.32)"
group01353,hypothetical protein
group01354,None Provided
group01355,"6-phosphogluconolactonase (EC 3.1.1.31), eukaryotic type"
group01356,None Provided
group01357,"Ubiquinol--cytochrome c reductase, cytochrome B subunit (EC 1.10.2.2)"
group01358,hypothetical protein
group01359,CoA-disulfide reductase (EC 1.8.1.14) / Disulfide bond regulator
group01360,None Provided
group01361,hypothetical protein
group01362,hypothetical protein
group01363,putative esterase
group01364,L-fuconolactone hydrolase
group01365,hypothetical protein
group01366,None Provided
group01367,Substrate-specific component CbrT of predicted cobalamin ECF transporter
group01368,None Provided
group01369,"Thiosulfate sulfurtransferase, rhodanese (EC 2.8.1.1)"
group01370,None Provided
group01371,NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3)
group01372,metallo-beta-lactamase family protein
group01373,None Provided
group01374,putative sodium-dependent bicarbonate transporter
group01375,4-hydroxyproline epimerase (EC 5.1.1.8)
group01376,Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)
group01377,Glycogen debranching enzyme (EC 3.2.1.-)
group01378,"1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)"
group01379,Flavodoxin reductases (ferredoxin-NADPH reductases) family 1
group01380,3-demethylubiquinone-9 3-methyltransferase
group01381,None Provided
group01382,None Provided
group01383,None Provided
group01384,"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)"
group01385,Alcohol dehydrogenase (EC 1.1.1.1)
group01386,FIG00474716: hypothetical protein
group01387,"Maltose/maltodextrin ABC transporter, permease protein MalF"
group01388,Universal stress protein family
group01389,CrcB protein
group01390,ABC transporter ATP-binding protein
group01391,3-oxoacyl-acyl-carrier protein reductase (EC 1.1.1.100)
group01392,None Provided
group01393,DNA polymerase III epsilon subunit (EC 2.7.7.7)
group01394,hypothetical protein
group01395,hypothetical protein
group01396,None Provided
group01397,FIG00664180: hypothetical protein
group01398,"Similar to CDP-glucose 4,6-dehydratase (EC 4.2.1.45)"
group01399,None Provided
group01400,putative membrane protein
group01401,Large-conductance mechanosensitive channel
group01402,Alpha-amylase (EC 3.2.1.1)
group01403,Formate--tetrahydrofolate ligase (EC 6.3.4.3)
group01404,None Provided
group01405,cyclase family protein
group01406,Uracil permease
group01407,"transcriptional regulator, PbsX family"
group01408,hypothetical protein
group01409,None Provided
group01410,Maltodextrin glucosidase (EC 3.2.1.20)
group01411,Pantothenate kinase (EC 2.7.1.33)
group01412,None Provided
group01413,hypothetical protein
group01414,hypothetical protein
group01415,"3-hydroxyacyl-acyl-carrier-protein dehydratase, FabZ form (EC 4.2.1.59)"
group01416,N-acyl-D-amino-acid deacylase( EC:3.5.1.81 )
group01417,"Thiamin ABC transporter, transmembrane component"
group01418,Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site
group01419,"Predicted glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21), Actinobacterial type"
group01420,None Provided
group01421,hypothetical protein
group01422,None Provided
group01423,None Provided
group01424,hypothetical protein
group01425,Cytosine deaminase (EC 3.5.4.1)
group01426,Enoyl-CoA hydratase (EC 4.2.1.17)
group01427,NAD-dependent formate dehydrogenase alpha subunit
group01428,None Provided
group01429,"Thiamin ABC transporter, substrate-binding component"
group01430,Homocysteine S-methyltransferase (EC 2.1.1.10)
group01431,None Provided
group01432,hypothetical protein
group01433,Aliphatic amidase AmiE (EC 3.5.1.4)
group01434,Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)
group01435,None Provided
group01436,None Provided
group01437,hypothetical protein
group01438,hypothetical protein
group01439,Uncharacterized protein UPF0114
group01440,hypothetical protein
group01441,hypothetical protein
group01442,hypothetical protein
group01443,hypothetical protein
group01444,Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-)
group01445,prolyl oligopeptidase family protein
group01446,None Provided
group01447,None Provided
group01448,hypothetical protein
group01449,None Provided
group01450,None Provided
group01451,hypothetical protein
group01452,Butyryl-CoA dehydrogenase (EC 1.3.8.1)
group01453,None Provided
group01454,Thiamin biosynthesis lipoprotein ApbE
group01455,FIG00945572: hypothetical protein
group01456,"Possible fucose ABC transporter, substrate-binding component"
group01457,Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-)
group01458,hypothetical protein
group01459,Cytosine/purine/uracil/thiamine/allantoin permease family protein
group01460,hypothetical protein
group01461,"Branched-chain amino acid ABC transporter, amino acid-binding protein (TC 3.A.1.4.1)"
group01462,None Provided
group01463,Glucose-1-phosphate cytidylyltransferase (EC 2.7.7.33)
group01464,Choline kinase (EC 2.7.1.32)
group01465,hypothetical protein
group01466,Lipid A export ATP-binding/permease protein MsbA
group01467,None Provided
group01468,Carbon monoxide dehydrogenase medium chain (EC 1.2.99.2)
group01469,None Provided
group01470,Cytochrome c oxidase polypeptide II (EC 1.9.3.1)
group01471,None Provided
group01472,Methylisocitrate lyase (EC 4.1.3.30)
group01473,None Provided
group01474,Homospermidine synthase( EC:2.5.1.44 )
group01475,hypothetical protein
group01476,hypothetical protein
group01477,None Provided
group01478,None Provided
group01479,hypothetical protein
group01480,None Provided
group01481,hypothetical protein
group01482,Putative Dimethylglycine oxidase
group01483,hypothetical protein
group01484,Epi-inositol hydrolase (EC 3.7.1.-)
group01485,None Provided
group01486,Trimethylamine methyltransferase family protein
group01487,None Provided
group01488,Purine nucleoside phosphorylase (EC 2.4.2.1)
group01489,Enoyl-CoA hydratase (EC 4.2.1.17)
group01490,N-acetylneuraminate synthase (EC 2.5.1.56)
group01491,None Provided
group01492,Thiolase
group01493,Enoyl-acyl-carrier-protein reductase FMN (EC 1.3.1.9)
group01494,Vitamin K epoxide reductase
group01495,Altronate hydrolase (EC 4.2.1.7)
group01496,"Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)"
group01497,Quaternary ammonium compound-resistance protein SugE
group01498,ABC-type Fe3+ transport system periplasmic component-like protein
group01499,None Provided
group01500,None Provided
group01501,1-pyrroline-4-hydroxy-2-carboxylate deaminase (EC 3.5.4.22)
group01502,5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)
group01503,Riboflavin transporter PnuX
group01504,None Provided
group01505,hypothetical protein
group01506,CTP:molybdopterin cytidylyltransferase
group01507,putative oxidoreductase protein
group01508,None Provided
group01509,cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases
group01510,None Provided
group01511,5-nucleotidase (EC 3.1.3.5)
group01512,Alpha-glucosides-binding periplasmic protein AglE precursor
group01513,Low molecular weight protein tyrosine phosphatase (EC 3.1.3.48)
group01514,None Provided
group01515,None Provided
group01516,None Provided
group01517,None Provided
group01518,Possible transmembrane protein
group01519,Phosphate transport system permease protein PstA (TC 3.A.1.7.1)
group01520,None Provided
group01521,None Provided
group01522,None Provided
group01523,putative ABC transporter ATP-binding protein
group01524,None Provided
group01525,None Provided
group01526,None Provided
group01527,D-tagatose 3-epimerase (EC 5.3.1.-)
group01528,None Provided
group01529,"2-oxoglutarate oxidoreductase, alpha subunit (EC 1.2.7.3)"
group01530,Macrolide export ATP-binding/permease protein MacB (EC 3.6.3.-)
group01531,Formaldehyde activating enzyme
group01532,3-oxoacyl-acyl-carrier protein reductase (EC 1.1.1.100)
group01533,hypothetical protein
group01534,D-beta-hydroxybutyrate dehydrogenase (EC 1.1.1.30)
group01535,None Provided
group01536,None Provided
group01537,probable glycosyltransferase WbpH
group01538,L-fuconate dehydratase (EC 4.2.1.68)
group01539,Transport ATP-binding protein CydD
group01540,hypothetical protein
group01541,Formate dehydrogenase chain D (EC 1.2.1.2)
group01542,None Provided
group01543,"ABC sugar transporter, inner membrane subunit"
group01544,Cytosine/purine/uracil/thiamine/allantoin permease family protein
group01545,3-oxoacyl-acyl-carrier protein reductase (EC 1.1.1.100)
group01546,oxidoreductase
group01547,"Glycine betaine ABC transport system, permease protein OpuAB"
group01548,hypothetical protein
group01549,None Provided
group01550,None Provided
group01551,Allantoinase (EC 3.5.2.5)
group01552,None Provided
group01553,hypothetical protein
group01554,L-fuco-beta-pyranose dehydrogenase (EC 1.1.1.122)
group01555,putative N-acetyltransferase
group01556,hypothetical protein
group01557,Naphthoate synthase (EC 4.1.3.36)
group01558,hypothetical protein
group01559,"Heme ABC transporter, cell surface heme and hemoprotein receptor HmuT"
group01560,None Provided
group01561,"2-oxoglutarate oxidoreductase, beta subunit (EC 1.2.7.3)"
group01562,None Provided
group01563,Putative oxidoreductase in 4-hydroxyproline catabolic gene cluster
group01564,Phosphoheptose isomerase 1 (EC 5.3.1.-)
group01565,None Provided
group01566,"Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)"
group01567,None Provided
group01568,None Provided
group01569,hypothetical protein
group01570,3-oxoadipate CoA-transferase subunit B (EC 2.8.3.6); Glutaconate CoA-transferase subunit B (EC 2.8.3.12)
group01571,None Provided
group01572,None Provided
group01573,hypothetical protein
group01574,None Provided
group01575,UDP-N-acetylglucosamine pyrophosphorylase related protein
group01576,hypothetical protein
group01577,"2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase (EC 4.1.2.n4)"
group01578,L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)
group01579,None Provided
group01580,None Provided
group01581,None Provided
group01582,hypothetical protein
group01583,Inosine-5-monophosphate dehydrogenase (EC 1.1.1.205)
group01584,"drug transport protein, putative"
group01585,Type III restriction-modification system methylation subunit (EC 2.1.1.72)
group01586,None Provided
group01587,Myo-inositol 2-dehydrogenase (EC 1.1.1.18)
group01588,Beta-glucosidase (EC 3.2.1.21)
group01589,None Provided
group01590,Predicted rhamnulose-1-phosphate aldolase (EC 4.1.2.19) / Predicted lactaldehyde dehydrogenase (EC 1.2.1.22)
